"sciname","TempMin","TempMax","EnvTemp"
"Leptojulis cyanopleura",NA,NA,"tropical"
"Leptojulis lambdastigma",NA,NA,"tropical"
"Leptojulis polylepis",NA,NA,"tropical"
"Leptojulis urostigma",NA,NA,"tropical"
"Macropharyngodon bipartitus",NA,NA,"subtropical"
"Macropharyngodon choati",23,26,"subtropical"
"Macropharyngodon cyanoguttatus",NA,NA,"tropical"
"Macropharyngodon geoffroy",NA,NA,"tropical"
"Macropharyngodon kuiteri",24,26,"tropical"
"Macropharyngodon marisrubri",NA,NA,"tropical"
"Macropharyngodon meleagris",24,28,"tropical"
"Macropharyngodon moyeri",NA,NA,"temperate"
"Macropharyngodon negrosensis",24,28,"tropical"
"Macropharyngodon ornatus",NA,NA,"tropical"
"Macropharyngodon pakoko",NA,NA,"tropical"
"Macropharyngodon vivienae",NA,NA,"subtropical"
"Malapterus reticulatus",NA,NA,"subtropical"
"Minilabrus striatus",NA,NA,"tropical"
"Notolabrus celidotus",NA,NA,"temperate"
"Notolabrus cinctus",NA,NA,"temperate"
"Notolabrus fucicola",NA,NA,"temperate"
"Notolabrus gymnogenis",NA,NA,"temperate"
"Notolabrus inscriptus",NA,NA,"temperate"
"Notolabrus parilus",NA,NA,"subtropical"
"Notolabrus tetricus",NA,NA,"temperate"
"Novaculichthys taeniourus",24,28,"tropical"
"Novaculoides macrolepidotus",NA,NA,"tropical"
"Novaculops alvheimi",NA,NA,"tropical"
"Novaculops halsteadi",NA,NA,"tropical"
"Novaculops koteamea",NA,NA,"subtropical"
"Novaculops pastellus",NA,NA,"subtropical"
"Novaculops sciistius",NA,NA,"temperate"
"Novaculops woodi",NA,NA,"subtropical"
"Ophthalmolepis lineolata",NA,NA,"subtropical"
"Oxycheilinus arenatus",NA,NA,"tropical"
"Oxycheilinus bimaculatus",NA,NA,"tropical"
"Oxycheilinus celebicus",24,28,"tropical"
"Oxycheilinus digramma",NA,NA,"tropical"
"Oxycheilinus lineatus",NA,NA,"tropical"
"Oxycheilinus mentalis",NA,NA,"tropical"
"Oxycheilinus nigromarginatus",NA,NA,"subtropical"
"Oxycheilinus orientalis",NA,NA,"tropical"
"Oxycheilinus unifasciatus",NA,NA,"tropical"
"Oxyjulis californica",NA,NA,"subtropical"
"Paracheilinus angulatus",NA,NA,"tropical"
"Paracheilinus attenuatus",NA,NA,"tropical"
"Paracheilinus bellae",NA,NA,"tropical"
"Paracheilinus carpenteri",24,26,"tropical"
"Paracheilinus cyaneus",NA,NA,"tropical"
"Paracheilinus filamentosus",24,28,"tropical"
"Paracheilinus flavianalis",NA,NA,"tropical"
"Paracheilinus hemitaeniatus",23,27,"tropical"
"Paracheilinus lineopunctatus",NA,NA,"tropical"
"Paracheilinus mccoskeri",25,28,"tropical"
"Paracheilinus nursalim",NA,NA,"tropical"
"Paracheilinus octotaenia",24,28,"tropical"
"Paracheilinus piscilineatus",NA,NA,"tropical"
"Paracheilinus rennyae",NA,NA,"tropical"
"Paracheilinus rubricaudalis",NA,NA,"tropical"
"Paracheilinus togeanensis",NA,NA,"tropical"
"Paracheilinus walton",NA,NA,"tropical"
"Parajulis poecilepterus",NA,NA,"subtropical"
"Pictilabrus brauni",NA,NA,"subtropical"
"Pictilabrus laticlavius",NA,NA,"temperate"
"Pictilabrus viridis",NA,NA,"subtropical"
"Polylepion cruentum",NA,NA,"tropical"
"Polylepion russelli",NA,NA,"deep-water"
"Pseudocheilinops ataenia",NA,NA,"tropical"
"Pseudocheilinus citrinus",NA,NA,"tropical"
"Pseudocheilinus dispilus",NA,NA,"tropical"
"Pseudocheilinus evanidus",23,28,"tropical"
"Pseudocheilinus hexataenia",24,28,"tropical"
"Pseudocheilinus ocellatus",NA,NA,"tropical"
"Pseudocheilinus octotaenia",NA,NA,"tropical"
"Pseudocheilinus tetrataenia",25,28,"tropical"
"Pseudocoris aequalis",NA,NA,"tropical"
"Pseudocoris aurantiofasciata",NA,NA,"tropical"
"Pseudocoris bleekeri",NA,NA,"subtropical"
"Pseudocoris heteroptera",NA,NA,"tropical"
"Pseudocoris ocellata",NA,NA,"subtropical"
"Pseudocoris petila",NA,NA,"tropical"
"Pseudocoris yamashiroi",NA,NA,"tropical"
"Pseudodax moluccanus",24,28,"tropical"
"Pseudojuloides argyreogaster",NA,NA,"tropical"
"Pseudojuloides atavai",NA,NA,"tropical"
"Pseudojuloides cerasinus",NA,NA,"tropical"
"Pseudojuloides edwardi",NA,NA,"tropical"
"Pseudojuloides elongatus",NA,NA,"temperate"
"Pseudojuloides erythrops",NA,NA,"tropical"
"Pseudojuloides kaleidos",NA,NA,"tropical"
"Pseudojuloides mesostigma",NA,NA,"tropical"
"Pseudojuloides pyrius",NA,NA,"tropical"
"Pseudojuloides severnsi",NA,NA,"tropical"
"Pseudojuloides xanthomos",NA,NA,"tropical"
"Pseudolabrus biserialis",NA,NA,"subtropical"
"Pseudolabrus eoethinus",NA,NA,"subtropical"
"Pseudolabrus fuentesi",NA,NA,"subtropical"
"Pseudolabrus gayi",NA,NA,"subtropical"
"Pseudolabrus guentheri",NA,NA,"subtropical"
"Pseudolabrus japonicus",NA,NA,"tropical"
"Pseudolabrus luculentus",NA,NA,"temperate"
"Pseudolabrus miles",NA,NA,"temperate"
"Pseudolabrus rubicundus",NA,NA,"temperate"
"Pseudolabrus semifasciatus",NA,NA,"deep-water"
"Pseudolabrus sieboldi",NA,NA,"subtropical"
"Pseudolabrus torotai",NA,NA,"subtropical"
"Pteragogus aurigarius",NA,NA,"subtropical"
"Pteragogus clarkae",NA,NA,"tropical"
"Pteragogus cryptus",NA,NA,"tropical"
"Pteragogus enneacanthus",NA,NA,"tropical"
"Pteragogus flagellifer",NA,NA,"tropical"
"Pteragogus guttatus",NA,NA,"tropical"
"Pteragogus pelycus",NA,NA,"tropical"
"Pteragogus taeniops",NA,NA,"tropical"
"Pteragogus trispilus",NA,NA,"subtropical"
"Pteragogus variabilis",NA,NA,"tropical"
"Sagittalarva inornatus",NA,NA,"tropical"
"Semicossyphus darwini",NA,NA,"tropical"
"Semicossyphus pulcher",NA,NA,"subtropical"
"Semicossyphus reticulatus",NA,NA,"subtropical"
"Stethojulis albovittata",NA,NA,"tropical"
"Stethojulis balteata",NA,NA,"tropical"
"Stethojulis bandanensis",NA,NA,"tropical"
"Stethojulis interrupta",NA,NA,"tropical"
"Stethojulis maculata",NA,NA,"tropical"
"Stethojulis marquesensis",NA,NA,"tropical"
"Stethojulis notialis",NA,NA,"tropical"
"Stethojulis strigiventer",NA,NA,"tropical"
"Stethojulis terina",NA,NA,"temperate"
"Stethojulis trilineata",NA,NA,"tropical"
"Suezichthys arquatus",NA,NA,"subtropical"
"Suezichthys aylingi",NA,NA,"subtropical"
"Suezichthys bifurcatus",NA,NA,"subtropical"
"Suezichthys caudavittatus",NA,NA,"tropical"
"Suezichthys cyanolaemus",NA,NA,"subtropical"
"Suezichthys devisi",NA,NA,"subtropical"
"Suezichthys gracilis",NA,NA,"temperate"
"Suezichthys notatus",NA,NA,"temperate"
"Suezichthys ornatus",NA,NA,"tropical"
"Suezichthys rosenblatti",NA,NA,"tropical"
"Suezichthys russelli",NA,NA,"tropical"
"Suezichthys soelae",NA,NA,"subtropical"
"Symphodus bailloni",NA,NA,"subtropical"
"Symphodus cinereus",NA,NA,"subtropical"
"Symphodus doderleini",NA,NA,"subtropical"
"Symphodus mediterraneus",NA,NA,"subtropical"
"Symphodus melanocercus",NA,NA,"subtropical"
"Symphodus melops",NA,NA,"temperate"
"Symphodus ocellatus",NA,NA,"subtropical"
"Symphodus roissali",NA,NA,"subtropical"
"Symphodus rostratus",NA,NA,"subtropical"
"Symphodus tinca",NA,NA,"subtropical"
"Tautoga onitis",NA,NA,"subtropical"
"Tautogolabrus adspersus",NA,NA,"temperate"
"Terelabrus rubrovittatus",NA,NA,"tropical"
"Thalassoma amblycephalum",24,28,"subtropical"
"Thalassoma ascensionis",NA,NA,"tropical"
"Thalassoma ballieui",NA,NA,"tropical"
"Thalassoma bifasciatum",23,26,"tropical"
"Thalassoma cupido",NA,NA,"subtropical"
"Thalassoma duperrey",22,26,"tropical"
"Thalassoma genivittatum",NA,NA,"subtropical"
"Thalassoma grammaticum",NA,NA,"tropical"
"Thalassoma hardwicke",24,28,"tropical"
"Thalassoma hebraicum",22,26,"tropical"
"Thalassoma heiseri",NA,NA,"subtropical"
"Thalassoma jansenii",24,28,"tropical"
"Thalassoma loxum",NA,NA,"tropical"
"Thalassoma lucasanum",20,24,"tropical"
"Thalassoma lunare",24,28,"subtropical"
"Thalassoma lutescens",24,28,"subtropical"
"Thalassoma newtoni",NA,NA,"tropical"
"Thalassoma nigrofasciatum",NA,NA,"tropical"
"Thalassoma noronhanum",NA,NA,"tropical"
"Thalassoma pavo",18,22,"subtropical"
"Thalassoma purpureum",NA,NA,"tropical"
"Thalassoma quinquevittatum",NA,NA,"tropical"
"Thalassoma robertsoni",NA,NA,"tropical"
"Thalassoma rueppellii",24,28,"tropical"
"Thalassoma sanctaehelenae",NA,NA,"tropical"
"Thalassoma septemfasciatum",NA,NA,"tropical"
"Thalassoma trilobatum",NA,NA,"tropical"
"Thalassoma virens",NA,NA,"tropical"
"Wetmorella albofasciata",NA,NA,"tropical"
"Wetmorella nigropinnata",NA,NA,"tropical"
"Wetmorella tanakai",NA,NA,"tropical"
"Xenojulis margaritaceus",24,28,"tropical"
"Xiphocheilus typus",NA,NA,"tropical"
"Xyrichtys blanchardi",NA,NA,"tropical"
"Xyrichtys incandescens",NA,NA,"tropical"
"Xyrichtys javanicus",NA,NA,"tropical"
"Xyrichtys martinicensis",NA,NA,"subtropical"
"Xyrichtys mundiceps",NA,NA,"tropical"
"Xyrichtys novacula",NA,NA,"subtropical"
"Xyrichtys rajagopalani",NA,NA,"tropical"
"Xyrichtys sanctaehelenae",NA,NA,"tropical"
"Xyrichtys splendens",NA,NA,"subtropical"
"Xyrichtys victori",NA,NA,"tropical"
"Xyrichtys wellingtoni",NA,NA,"tropical"
"Alloclinus holderi",NA,NA,"subtropical"
"Auchenionchus crinitus",NA,NA,"subtropical"
"Auchenionchus microcirrhis",NA,NA,"subtropical"
"Auchenionchus variolosus",NA,NA,"subtropical"
"Calliclinus geniguttatus",NA,NA,"subtropical"
"Calliclinus nudiventris",NA,NA,"subtropical"
"Cottoclinus canops",NA,NA,"subtropical"
"Cryptotrema corallinum",NA,NA,"subtropical"
"Cryptotrema seftoni",NA,NA,"tropical"
"Dialommus fuscus",NA,NA,"tropical"
"Dialommus macrocephalus",NA,NA,"tropical"
"Exerpes asper",NA,NA,"tropical"
"Haptoclinus apectolophus",NA,NA,"deep-water"
"Labrisomus albigenys",NA,NA,"tropical"
"Labrisomus bucciferus",NA,NA,"tropical"
"Labrisomus conditus",NA,NA,"tropical"
"Labrisomus cricota",NA,NA,"tropical"
"Labrisomus dendriticus",NA,NA,"tropical"
"Labrisomus fernandezianus",NA,NA,"subtropical"
"Labrisomus filamentosus",NA,NA,"tropical"
"Labrisomus gobio",NA,NA,"subtropical"
"Labrisomus guppyi",NA,NA,"subtropical"
"Labrisomus haitiensis",NA,NA,"tropical"
"Labrisomus jenkinsi",NA,NA,"tropical"
"Labrisomus kalisherae",NA,NA,"subtropical"
"Labrisomus multiporosus",NA,NA,"tropical"
"Labrisomus nigricinctus",NA,NA,"subtropical"
"Labrisomus nuchipinnis",NA,NA,"tropical"
"Labrisomus philippii",NA,NA,"subtropical"
"Labrisomus pomaspilus",NA,NA,"tropical"
"Labrisomus socorroensis",NA,NA,"tropical"
"Labrisomus striatus",NA,NA,"tropical"
"Labrisomus wigginsi",NA,NA,"tropical"
"Labrisomus xanti",NA,NA,"tropical"
"Malacoctenus africanus",NA,NA,"tropical"
"Malacoctenus aurolineatus",NA,NA,"subtropical"
"Malacoctenus boehlkei",NA,NA,"tropical"
"Malacoctenus brunoi",NA,NA,"tropical"
"Malacoctenus carrowi",NA,NA,"tropical"
"Malacoctenus costaricanus",NA,NA,"tropical"
"Malacoctenus delalandii",NA,NA,"tropical"
"Malacoctenus ebisui",NA,NA,"tropical"
"Malacoctenus erdmani",NA,NA,"tropical"
"Malacoctenus gigas",NA,NA,"tropical"
"Malacoctenus gilli",NA,NA,"tropical"
"Malacoctenus hubbsi",NA,NA,"tropical"
"Malacoctenus macropus",NA,NA,"subtropical"
"Malacoctenus margaritae",NA,NA,"tropical"
"Malacoctenus mexicanus",NA,NA,"tropical"
"Malacoctenus polyporosus",NA,NA,"tropical"
"Malacoctenus sudensis",NA,NA,"tropical"
"Malacoctenus tetranemus",NA,NA,"tropical"
"Malacoctenus triangulatus",NA,NA,"subtropical"
"Malacoctenus versicolor",NA,NA,"tropical"
"Malacoctenus zacae",NA,NA,"tropical"
"Malacoctenus zonifer",NA,NA,"tropical"
"Malacoctenus zonogaster",NA,NA,"tropical"
"Nemaclinus atelestos",NA,NA,"subtropical"
"Paraclinus altivelis",NA,NA,"tropical"
"Paraclinus arcanus",NA,NA,"tropical"
"Paraclinus barbatus",NA,NA,"tropical"
"Paraclinus beebei",NA,NA,"tropical"
"Paraclinus cingulatus",NA,NA,"tropical"
"Paraclinus ditrichus",NA,NA,"tropical"
"Paraclinus fasciatus",NA,NA,"tropical"
"Paraclinus fehlmanni",NA,NA,"tropical"
"Paraclinus grandicomis",NA,NA,"tropical"
"Paraclinus infrons",NA,NA,"tropical"
"Paraclinus integripinnis",NA,NA,"subtropical"
"Paraclinus magdalenae",NA,NA,"tropical"
"Paraclinus marmoratus",NA,NA,"tropical"
"Paraclinus mexicanus",NA,NA,"tropical"
"Paraclinus monophthalmus",NA,NA,"tropical"
"Paraclinus naeorhegmis",NA,NA,"tropical"
"Paraclinus nigripinnis",NA,NA,"tropical"
"Paraclinus rubicundus",NA,NA,"tropical"
"Paraclinus sini",NA,NA,"tropical"
"Paraclinus spectator",NA,NA,"tropical"
"Paraclinus stephensi",NA,NA,"tropical"
"Paraclinus tanygnathus",NA,NA,"tropical"
"Paraclinus walkeri",NA,NA,"tropical"
"Starksia atlantica",NA,NA,"tropical"
"Starksia brasiliensis",NA,NA,"tropical"
"Starksia cremnobates",NA,NA,"tropical"
"Starksia culebrae",NA,NA,"tropical"
"Starksia elongata",NA,NA,"tropical"
"Starksia fasciata",NA,NA,"tropical"
"Starksia fulva",NA,NA,"tropical"
"Starksia galapagensis",NA,NA,"tropical"
"Starksia grammilaga",NA,NA,"tropical"
"Starksia greenfieldi",NA,NA,"tropical"
"Starksia guadalupae",NA,NA,"subtropical"
"Starksia guttata",NA,NA,"tropical"
"Starksia hassi",NA,NA,"tropical"
"Starksia hoesei",NA,NA,"subtropical"
"Starksia langi",NA,NA,"tropical"
"Starksia lepicoelia",NA,NA,"tropical"
"Starksia lepidogaster",NA,NA,"tropical"
"Starksia leucovitta",NA,NA,"tropical"
"Starksia melasma",NA,NA,"tropical"
"Starksia multilepis",NA,NA,"tropical"
"Starksia nanodes",NA,NA,"tropical"
"Starksia occidentalis",NA,NA,"tropical"
"Starksia ocellata",NA,NA,"tropical"
"Starksia posthon",NA,NA,"tropical"
"Starksia rava",NA,NA,"tropical"
"Starksia robertsoni",NA,NA,"tropical"
"Starksia sangreyae",NA,NA,"tropical"
"Starksia sella",NA,NA,"tropical"
"Starksia sluiteri",NA,NA,"tropical"
"Starksia smithvanizi",NA,NA,"tropical"
"Starksia spinipenis",NA,NA,"tropical"
"Starksia springeri",NA,NA,"tropical"
"Starksia starcki",NA,NA,"tropical"
"Starksia variabilis",NA,NA,"tropical"
"Starksia weigti",NA,NA,"tropical"
"Starksia williamsi",NA,NA,"tropical"
"Starksia y-lineata",NA,NA,"tropical"
"Xenomedea rhodopyga",NA,NA,"tropical"
"Lacantunia enigmatica",NA,NA,"tropical"
"Lactarius lactarius",NA,NA,"tropical"
"Carcharodon carcharias",NA,NA,"subtropical"
"Isurus oxyrinchus",16,NA,"subtropical"
"Isurus paucus",NA,NA,"subtropical"
"Lamna ditropis",NA,NA,"temperate"
"Lamna nasus",1,18,"temperate"
"Lamna nasus",NA,NA,"temperate"
"Lamna nasus",NA,NA,"temperate"
"Lamna nasus",NA,NA,"temperate"
"Lampris guttatus",NA,NA,"deep-water"
"Lampris immaculatus",NA,NA,"temperate"
"Lateolabrax japonicus",NA,NA,"subtropical"
"Lateolabrax latus",NA,NA,"temperate"
"Hypopterus macropterus",NA,NA,"temperate"
"Lates angustifrons",22,28,"tropical"
"Lates calcarifer",15,28,"tropical"
"Lates japonicus",NA,NA,"subtropical"
"Lates lakdiva",NA,NA,"tropical"
"Lates longispinis",NA,NA,"tropical"
"Lates macrophthalmus",NA,NA,"tropical"
"Lates mariae",NA,NA,"tropical"
"Lates microlepis",24,28,"tropical"
"Lates niloticus",NA,NA,"tropical"
"Lates stappersii",NA,NA,"tropical"
"Lates uwisara",NA,NA,"tropical"
"Psammoperca waigiensis",NA,NA,"tropical"
"Latimeria chalumnae",13,25,"deep-water"
"Latimeria menadoensis",17,20,"deep-water"
"Latridopsis ciliaris",NA,NA,"temperate"
"Latridopsis forsteri",NA,NA,"temperate"
"Latris lineata",NA,NA,"temperate"
"Latris pacifica",NA,NA,"deep-water"
"Mendosoma lineatum",NA,NA,"temperate"
"Copeina guttata",23,28,"tropical"
"Copeina osgoodi",NA,NA,"tropical"
"Copella arnoldi",25,29,"tropical"
"Copella carsevennensis",NA,NA,"tropical"
"Copella compta",NA,NA,"subtropical"
"Copella eigenmanni",NA,NA,"tropical"
"Copella meinkeni",NA,NA,"tropical"
"Copella metae",23,27,"tropical"
"Copella nattereri",23,27,"tropical"
"Copella nigrofasciata",21,25,"tropical"
"Copella vilmae",23,25,"tropical"
"Derhamia hoffmannorum",NA,NA,"tropical"
"Lebiasina ardilai",NA,NA,"tropical"
"Lebiasina bimaculata",22,26,"tropical"
"Lebiasina chocoensis",NA,NA,"tropical"
"Lebiasina chucuriensis",NA,NA,"tropical"
"Lebiasina colombia",NA,NA,"tropical"
"Lebiasina floridablancaensis",NA,NA,"tropical"
"Lebiasina intermedia",NA,NA,"tropical"
"Lebiasina marilynae",NA,NA,"tropical"
"Lebiasina melanoguttata",NA,NA,"tropical"
"Lebiasina minuta",NA,NA,"tropical"
"Lebiasina multimaculata",23,27,"tropical"
"Lebiasina narinensis",NA,NA,"tropical"
"Lebiasina ortegai",NA,NA,"tropical"
"Lebiasina provenzanoi",NA,NA,"tropical"
"Lebiasina taphorni",NA,NA,"tropical"
"Lebiasina uruyensis",NA,NA,"tropical"
"Lebiasina yepezi",NA,NA,"tropical"
"Lebiasina yuruaniensis",NA,NA,"tropical"
"Nannostomus anduzei",24,28,"tropical"
"Nannostomus beckfordi",24,26,"tropical"
"Nannostomus bifasciatus",23,27,"tropical"
"Nannostomus britskii",NA,NA,"tropical"
"Nannostomus digrammus",24,26,"tropical"
"Nannostomus eques",23,28,"tropical"
"Nannostomus erythrurus",NA,NA,"tropical"
"Nannostomus espei",22,26,"tropical"
"Nannostomus grandis",NA,NA,"tropical"
"Nannostomus harrisoni",24,28,"tropical"
"Nannostomus limatus",NA,NA,"tropical"
"Nannostomus marginatus",24,26,"tropical"
"Nannostomus marilynae",24,26,"tropical"
"Nannostomus minimus",NA,NA,"tropical"
"Nannostomus mortenthaleri",NA,NA,"tropical"
"Nannostomus nigrotaeniatus",NA,NA,"tropical"
"Nannostomus nitidus",24,28,"tropical"
"Nannostomus rubrocaudatus",NA,NA,"tropical"
"Nannostomus trifasciatus",24,28,"tropical"
"Nannostomus unifasciatus",25,28,"tropical"
"Piabucina astrigata",22,26,"tropical"
"Piabucina aureoguttata",NA,NA,"tropical"
"Piabucina boruca",23,29,"tropical"
"Piabucina elongata",NA,NA,"tropical"
"Piabucina erythrinoides",NA,NA,"tropical"
"Piabucina festae",NA,NA,"tropical"
"Piabucina panamensis",NA,NA,"tropical"
"Piabucina pleurotaenia",NA,NA,"tropical"
"Piabucina unitaeniata",NA,NA,"tropical"
"Pyrrhulina australis",NA,NA,"tropical"
"Pyrrhulina beni",NA,NA,"tropical"
"Pyrrhulina brevis",24,28,"tropical"
"Pyrrhulina eleanorae",24,38,"tropical"
"Pyrrhulina elongata",NA,NA,"tropical"
"Pyrrhulina filamentosa",23,28,"tropical"
"Pyrrhulina laeta",23,27,"tropical"
"Pyrrhulina lugubris",NA,NA,"tropical"
"Pyrrhulina marilynae",NA,NA,"tropical"
"Pyrrhulina maxima",NA,NA,"tropical"
"Pyrrhulina melanostoma",NA,NA,"tropical"
"Pyrrhulina obermulleri",NA,NA,"tropical"
"Pyrrhulina rachoviana",15,22,"subtropical"
"Pyrrhulina semifasciata",NA,NA,"tropical"
"Pyrrhulina spilota",23,26,"tropical"
"Pyrrhulina stoli",NA,NA,"tropical"
"Pyrrhulina vittata",23,27,"tropical"
"Pyrrhulina zigzag",NA,NA,"tropical"
"Aurigequula fasciata",26,29,"tropical"
"Equulites absconditus",NA,NA,"tropical"
"Equulites antongil",NA,NA,"tropical"
"Equulites elongatus",NA,NA,"tropical"
"Equulites klunzingeri",NA,NA,"tropical"
"Equulites laterofenestra",NA,NA,"tropical"
"Equulites leuciscus",26,29,"tropical"
"Equulites lineolatus",NA,NA,"tropical"
"Equulites moretoniensis",NA,NA,"tropical"
"Equulites rivulatus",NA,NA,"temperate"
"Equulites stercorarius",NA,NA,"tropical"
"Eubleekeria jonesi",NA,NA,"tropical"
"Eubleekeria kupanensis",NA,NA,"tropical"
"Eubleekeria rapsoni",NA,NA,"tropical"
"Eubleekeria splendens",NA,NA,"tropical"
"Gazza achlamys",NA,NA,"tropical"
"Gazza dentex",NA,NA,"tropical"
"Gazza minuta",26,29,"tropical"
"Gazza rhombea",NA,NA,"subtropical"
"Gazza squamiventralis",NA,NA,"tropical"
"Karalla daura",NA,NA,"tropical"
"Karalla dussumieri",NA,NA,"tropical"
"Leiognathus berbis",NA,NA,"tropical"
"Leiognathus brevirostris",NA,NA,"tropical"
"Leiognathus equulus",26,29,"tropical"
"Leiognathus longispinis",NA,NA,"tropical"
"Leiognathus oblongus",NA,NA,"tropical"
"Leiognathus parviceps",NA,NA,"subtropical"
"Leiognathus robustus",NA,NA,"tropical"
"Leiognathus striatus",NA,NA,"tropical"
"Nuchequula blochii",NA,NA,"tropical"
"Nuchequula flavaxilla",NA,NA,"tropical"
"Nuchequula gerreoides",NA,NA,"tropical"
"Nuchequula glenysae",NA,NA,"tropical"
"Nuchequula longicornis",NA,NA,"tropical"
"Nuchequula mannusella",NA,NA,"temperate"
"Nuchequula nuchalis",NA,NA,"temperate"
"Photopectoralis aureus",NA,NA,"tropical"
"Photopectoralis bindus",NA,NA,"tropical"
"Photopectoralis hataii",NA,NA,"tropical"
"Photopectoralis panayensis",NA,NA,"tropical"
"Secutor hanedai",NA,NA,"tropical"
"Secutor indicius",NA,NA,"tropical"
"Secutor insidiator",26,29,"tropical"
"Secutor interruptus",NA,NA,"tropical"
"Secutor mazavasaoka",NA,NA,"tropical"
"Secutor megalolepis",NA,NA,"tropical"
"Secutor ruconius",26,29,"tropical"
"Lepidogalaxias salamandroides",17,26,"temperate"
"Lepidosiren paradoxa",24,28,"subtropical"
"Atractosteus spatula",NA,NA,"subtropical"
"Atractosteus tristoechus",18,23,"tropical"
"Atractosteus tropicus",NA,NA,"tropical"
"Lepisosteus oculatus",12,20,"temperate"
"Lepisosteus osseus",12,20,"temperate"
"Lepisosteus platostomus",10,18,"temperate"
"Lepisosteus platyrhincus",NA,NA,"subtropical"
"Leptobrama muelleri",NA,NA,"tropical"
"Leptocharias smithii",20,27,"tropical"
"Leptochilichthys agassizii",NA,NA,"deep-water"
"Leptochilichthys microlepis",NA,NA,"deep-water"
"Leptochilichthys pinguis",NA,NA,"deep-water"
"Crapatalus angusticeps",NA,NA,"temperate"
"Crapatalus munroi",NA,NA,"subtropical"
"Crapatalus novaezelandiae",NA,NA,"temperate"
"Leptoscopus macropygus",NA,NA,"subtropical"
"Lesueurina platycephala",NA,NA,"subtropical"
"Gnathodentex aureolineatus",NA,NA,"tropical"
"Gymnocranius audleyi",NA,NA,"subtropical"
"Gymnocranius elongatus",NA,NA,"tropical"
"Gymnocranius euanus",NA,NA,"tropical"
"Gymnocranius frenatus",NA,NA,"tropical"
"Gymnocranius grandoculis",NA,NA,"tropical"
"Gymnocranius griseus",NA,NA,"tropical"
"Gymnocranius microdon",NA,NA,"tropical"
"Gymnocranius oblongus",NA,NA,"subtropical"
"Lethrinus amboinensis",NA,NA,"tropical"
"Lethrinus atkinsoni",NA,NA,"tropical"
"Lethrinus atlanticus",NA,NA,"tropical"
"Lethrinus borbonicus",NA,NA,"tropical"
"Lethrinus conchyliatus",NA,NA,"tropical"
"Lethrinus crocineus",NA,NA,"tropical"
"Lethrinus enigmaticus",NA,NA,"tropical"
"Lethrinus erythracanthus",NA,NA,"tropical"
"Lethrinus erythropterus",NA,NA,"tropical"
"Lethrinus genivittatus",NA,NA,"tropical"
"Lethrinus haematopterus",NA,NA,"subtropical"
"Lethrinus harak",NA,NA,"tropical"
"Lethrinus laticaudis",NA,NA,"tropical"
"Lethrinus lentjan",NA,NA,"tropical"
"Lethrinus mahsena",NA,NA,"tropical"
"Lethrinus microdon",NA,NA,"tropical"
"Lethrinus miniatus",NA,NA,"tropical"
"Lethrinus nebulosus",NA,NA,"tropical"
"Lethrinus obsoletus",NA,NA,"tropical"
"Lethrinus olivaceus",NA,NA,"tropical"
"Lethrinus ornatus",NA,NA,"tropical"
"Lethrinus ravus",NA,NA,"tropical"
"Lethrinus reticulatus",NA,NA,"tropical"
"Lethrinus rubrioperculatus",NA,NA,"tropical"
"Lethrinus semicinctus",NA,NA,"tropical"
"Lethrinus variegatus",NA,NA,"tropical"
"Lethrinus xanthochilus",NA,NA,"tropical"
"Monotaxis grandoculis",NA,NA,"tropical"
"Wattsia mossambica",NA,NA,"deep-water"
"Acentrophryne dolichonema",NA,NA,"deep-water"
"Acentrophryne longidens",NA,NA,"deep-water"
"Borophryne apogon",NA,NA,"deep-water"
"Haplophryne mollis",NA,NA,"deep-water"
"Linophryne algibarbata",NA,NA,"deep-water"
"Linophryne andersoni",NA,NA,"deep-water"
"Linophryne arborifera",NA,NA,"deep-water"
"Linophryne arcturi",NA,NA,"deep-water"
"Linophryne argyresca",NA,NA,"deep-water"
"Linophryne bicornis",NA,NA,"deep-water"
"Linophryne bipennata",NA,NA,"deep-water"
"Linophryne brevibarbata",NA,NA,"deep-water"
"Linophryne coronata",NA,NA,"deep-water"
"Linophryne densiramus",NA,NA,"deep-water"
"Linophryne escaramosa",NA,NA,"deep-water"
"Linophryne indica",NA,NA,"deep-water"
"Linophryne lucifer",NA,NA,"deep-water"
"Linophryne macrodon",NA,NA,"deep-water"
"Linophryne maderensis",NA,NA,"deep-water"
"Linophryne parini",NA,NA,"deep-water"
"Linophryne pennibarbata",NA,NA,"deep-water"
"Linophryne polypogon",NA,NA,"deep-water"
"Linophryne quinqueramosa",NA,NA,"deep-water"
"Linophryne racemifera",NA,NA,"deep-water"
"Linophryne sexfilis",NA,NA,"deep-water"
"Linophryne trewavasae",NA,NA,"deep-water"
"Photocorynus spiniceps",NA,NA,"deep-water"
"Acantholiparis caecus",NA,NA,"deep-water"
"Acantholiparis opercularis",NA,NA,"deep-water"
"Aetheliparis taurocanis",NA,NA,"deep-water"
"Allocareproctus jordani",NA,NA,"deep-water"
"Allocareproctus kallaion",NA,NA,"deep-water"
"Allocareproctus tanix",NA,NA,"deep-water"
"Allocareproctus unangas",NA,NA,"deep-water"
"Allocareproctus ungak",NA,NA,"deep-water"
"Careproctus abbreviatus",NA,NA,"deep-water"
"Careproctus acaecus",NA,NA,"deep-water"
"Careproctus acanthodes",NA,NA,"deep-water"
"Careproctus aciculipunctatus",NA,NA,"deep-water"
