"sciname","StockCode","AgeMatMin","AgeMatMin2","tm"
"Neolissochilus hexagonolepis",12451,NA,NA,NA
"Neolissochilus hexagonolepis",12451,NA,NA,NA
"Neolissochilus hexagonolepis",12451,3,NA,NA
"Nocomis biguttatus",3003,NA,NA,3
"Nocomis micropogon",3006,NA,NA,3
"Nocomis micropogon",3006,NA,NA,2
"Nocomis micropogon",3006,NA,NA,3
"Notemigonus crysoleucas",290,NA,NA,2
"Notemigonus crysoleucas",290,NA,2,NA
"Notropis albizonatus",44963,NA,NA,NA
"Notropis atherinoides",3020,NA,NA,1
"Notropis bifrenatus",3026,NA,NA,1
"Opsaridium microcephalum",5678,NA,NA,NA
"Opsaridium microcephalum",5678,NA,NA,NA
"Opsariichthys uncirostris",18201,NA,NA,NA
"Oreoleuciscus humilis",40174,6,NA,NA
"Oreoleuciscus potanini",40175,8,9,NA
"Oreoleuciscus potanini",40175,8,9,NA
"Oreoleuciscus potanini",40175,5,6,NA
"Oreoleuciscus potanini",40175,15,NA,NA
"Osteochilus melanopleurus",14964,NA,NA,NA
"Osteochilus melanopleurus",14964,NA,NA,NA
"Osteochilus vittatus",291,NA,NA,NA
"Osteochilus vittatus",291,NA,NA,NA
"Parabramis pekinensis",296,NA,NA,6
"Paracanthobrama guichenoti",44902,2,3,2.5
"Parachondrostoma miegii",52744,2,3,NA
"Parachondrostoma toxostoma",4675,3,4,NA
"Pelasgus laconicus",51896,2,NA,NA
"Pelasgus minutus",20511,1,NA,NA
"Pelasgus stymphalicus",10251,NA,NA,NA
"Pelecus cultratus",297,NA,NA,4
"Pelecus cultratus",297,NA,NA,3
"Pelecus cultratus",297,3,5,NA
"Petroleuciscus borysthenicus",20469,2,3,NA
"Petroleuciscus borysthenicus",20469,2,3,NA
"Petroleuciscus borysthenicus",20469,2,4,NA
"Phoxinellus alepidotus",20507,NA,NA,NA
"Phoxinellus alepidotus",20507,NA,NA,NA
"Phoxinellus pseudalepidotus",51948,NA,NA,NA
"Phoxinus lumaireul",55187,1,2,NA
"Phoxinus phoxinus",4868,NA,NA,NA
"Phoxinus phoxinus",4868,1,2,NA
"Phoxinus phoxinus",4868,5,6,NA
"Phoxinus phoxinus",4868,1,2,NA
"Phoxinus phoxinus",4868,5,6,NA
"Phoxinus phoxinus",4868,NA,NA,1
"Phoxinus phoxinus",4868,1,2,NA
"Phoxinus phoxinus",4868,1,2,NA
"Phoxinus phoxinus",4868,2,NA,NA
"Pimephales promelas",5009,NA,NA,3
"Pimephales promelas",5009,NA,NA,2
"Pimephales promelas",5009,NA,NA,1
"Pimephales promelas",5009,1,2,NA
"Plagiognathops microlepis",39378,4,5,NA
"Pseudaspius leptocephalus",39256,NA,NA,5
"Pseudobarbus afer",10140,2,NA,NA
"Pseudobarbus afer",10140,2,NA,NA
"Pseudobarbus asper",10248,1,NA,NA
"Pseudobarbus asper",10248,1,NA,NA
"Pseudobarbus burgi",6452,NA,NA,NA
"Pseudochondrostoma polylepis",10752,2,NA,NA
"Pseudochondrostoma polylepis",10752,2,NA,NA
"Pseudochondrostoma polylepis",10752,3,4,NA
"Pseudorasbora parva",4909,1,1,1
"Pseudorasbora parva",4909,NA,NA,2
"Pseudorasbora parva",4909,NA,NA,1
"Puntius sophore",10460,NA,NA,NA
"Raiamas senegalensis",5516,NA,NA,NA
"Rastrineobola argentea",295,NA,NA,NA
"Rhinichthys cataractae",3140,NA,NA,3
"Rhinichthys cataractae",3140,2,NA,NA
"Rhodeus amarus",4681,NA,NA,2
"Rhodeus amarus",4681,1,NA,NA
"Rhodeus sericeus",3144,2,NA,NA
"Rhodeus sericeus",3144,2,3,NA
"Rhodeus sericeus",3144,NA,NA,2
"Rhynchocypris lagowskii",39231,NA,NA,NA
"Rhynchocypris percnurus",20473,NA,NA,2
"Rhynchocypris percnurus",20473,2,3,NA
"Romanogobio albipinnatus",20456,2,NA,NA
"Romanogobio belingi",52485,2,NA,NA
"Romanogobio benacensis",39189,1,2,NA
"Romanogobio kesslerii",20462,2,3,NA
"Romanogobio tanaiticus",52462,2,NA,NA
"Romanogobio tenuicorpus",39840,NA,NA,3
"Romanogobio vladykovi",52482,2,NA,NA
"Rutilus caspicus",55334,2,5,NA
"Rutilus frisii",8730,4,5,NA
"Rutilus panosi",52593,3,NA,NA
"Rutilus pigus",8732,2,3,NA
"Rutilus rutilus",286,2,6,NA
"Rutilus rutilus",286,3,4,NA
"Rutilus rutilus",286,NA,NA,3
"Rutilus rutilus",286,NA,NA,2
"Rutilus rutilus",286,3,5,NA
"Rutilus rutilus",286,2,3,NA
"Rutilus rutilus",286,3,NA,NA
"Rutilus rutilus",286,3,NA,NA
"Rutilus rutilus",286,3,4,NA
"Sarcocheilichthys czerskii",39841,NA,NA,3
"Sarcocheilichthys sinensis",39842,NA,NA,3
"Sarmarutilus rubilio",20528,2,3,NA
"Sarmarutilus rubilio",20528,2,NA,NA
"Sarmarutilus rubilio",20528,1,NA,NA
"Saurogobio dabryi",39846,NA,NA,3
"Scardinius acarnanicus",41203,2,3,NA
"Scardinius erythrophthalmus",3147,NA,NA,4
"Scardinius erythrophthalmus",3147,NA,NA,3
"Scardinius erythrophthalmus",3147,5,5,5
"Scardinius erythrophthalmus",3147,3,4,NA
"Scardinius erythrophthalmus",3147,NA,NA,1
"Scardinius erythrophthalmus",3147,NA,NA,1
"Scardinius hesperidicus",55436,2,3,NA
"Schizothorax curvifrons",19370,NA,NA,NA
"Schizothorax richardsonii",9023,2,NA,NA
"Semotilus atromaculatus",3148,NA,NA,2.5
"Semotilus atromaculatus",3148,NA,NA,3.5
"Semotilus atromaculatus",3148,NA,NA,3.5
"Squalidus chankaensis chankaensis",39847,NA,NA,2
"Squaliobarbus curriculus",10709,NA,NA,2
"Squalius aphipsi",40172,2,NA,NA
"Squalius cephalus",4680,4,7,6
"Squalius cephalus",4680,3,5,4
"Squalius cephalus",4680,4,4,4
"Squalius cephalus",4680,3,3,3
"Squalius cephalus",4680,4,6,NA
"Squalius cephalus",4680,2,4,NA
"Squalius cephalus",4680,2,NA,NA
"Squalius cephalus",4680,NA,NA,NA
"Squalius cephalus",4680,3,4,NA
"Squalius cephalus",4680,1,2,NA
"Squalius cephalus",4680,NA,NA,NA
"Squalius cephalus",4680,NA,NA,NA
"Squalius cephalus",4680,2,5,NA
"Squalius cephalus",4680,1,4,NA
"Squalius ghigii",10131,1,NA,NA
"Squalius moreoticus",55195,1,NA,NA
"Squalius peloponensis",53739,NA,2,NA
"Squalius pyrenaicus",18757,2,NA,3
