sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Amia calva,0.2565,79.125,3.796627446,3.177279715,0.240243844
Ammodytes dubius,0.35,25.6,2.816479931,2.348085456,0.340099134
Ammodytes marinus,0.57,18.68571429,2.543019408,2.20385963,0.457973367
Ammodytes personatus,0.609,24.2,2.767630732,2.552248025,0.609
Ammodytes tobianus,0.67725,19.8375,2.59497388,2.408000954,0.650170221
Amniataba caudavittata,0.235,29.4,2.936694661,2.123632882,0.153793585
Amphilius jacksonii,0.29,14.9,2.346372537,1.781281641,0.272213152
Amphiprion chrysopterus,0.812,11.3,2.106156887,2.015712916,0.812
Amphiprion melanopus,0.528,9.1,1.918082785,1.640716707,0.528
Amphiprion perideraion,0.48,9.7,1.973543469,1.654784706,0.48
Amphiprion tricinctus,0.36,16.5,2.434967888,1.991270389,0.36
Amphistichus argenteus,0.1655,47.5,3.353387219,2.563592739,0.162257776
Anabas testudineus,1.4,17.1,2.465992221,2.612120256,1.4
Anarhichas denticulatus,0.0895,156,4.386249197,3.335461821,0.088963656
Anarhichas lupus,0.0876,131,4.234542591,3.113827173,0.075732899
Anarhichas minor,0.10225,153,4.369382862,3.355644245,0.09688608
Anchoa mitchilli,0.523333333,11.36666667,2.111266249,1.817496619,0.508429066
Anchoa mundeola,0.207,16,2.408239965,1.724210311,0.207
Anchoa nasus,1.8,8.55,1.863932229,2.119163072,1.799827332
Anchoa panamensis,2.784,11.4,2.113809703,2.558478934,2.784
Anguilla anguilla,0.23911,77.3975,3.777453866,2.891871859,0.130142155
Anguilla japonica,0.07,98.2,3.984222976,2.829321016,0.07
Anguilla mossambica,0.041,139,4.286029601,2.898813457,0.041
Anisotremus interruptus,0.13,52.53985,3.440977657,2.554921009,0.13
Anodontostoma chacunda,1.0845,19.45,2.577839211,2.602223474,1.057752993
Anoplogaster cornuta,0.86,15,2.352182518,2.286680969,0.86
Anoplopoma fimbria,0.247034483,75.94827586,3.761035838,3.084988498,0.210839831
Anotopterus nikparini,0.5,110,4.08278537,3.781755375,0.5
Antimora microlepis,0.09,70.9,3.70129247,2.65553498,0.09
Antimora rostrata,0.16475,69.275,3.681153069,2.841022654,0.144500578
Apeltes quadracus,1.17,5.9,1.541704023,1.57652455,1.083479071
Aphanius danfordii,0.14,9.41,1.947179247,1.007053198,0.114782043
Aphanius fasciatus,0.187,8.72,1.88103297,1.146860311,0.184428206
Aphanius iberus,0.998333333,5.326666667,1.452911041,1.343484515,0.777272807
Aphanius sophiae,0.7305,36.4175,3.122620258,2.701937688,0.379592331
Aphanopus carbo,0.1805,142,4.304576689,3.524916006,0.166088406
Aphareus rutilans,0.1615,114.85,4.120261999,3.292976638,0.148838279
Aphia minuta,1.75,6.456666667,1.620016732,1.847283245,1.687588326
Aphredoderus sayanus,0.82,9.85,1.986872461,1.881901766,0.785288621
Apogon imberbis,0.9,15,2.352182518,2.306425028,0.9
Aprion virescens,0.2436,95.9,3.963637214,3.302364505,0.218135972
Apsilus dentatus,0.475,62.7,3.594535082,3.239418697,0.441452128
Arapaima gigas,0.1769,317,5.002118524,4.181417778,0.151112104
Archosargus probatocephalus,0.35125,49.97381,3.397484923,2.935986415,0.345542517
