sciname,aveK,aveTLinf,logTLinf,avephi1,aveKphi
Ginglymostoma cirratum,0.141,449,5.304492682,4.453711795,0.141
Girella punctata,0.1717,48.05339,3.363448062,2.536398512,0.148919116
Girella tricuspidata,0.3685875,38.01552125,3.159921899,2.691379174,0.339983057
Glaniopsis hanitschi,0.318,5.1,1.415140352,0.917567472,0.318
Glaucosoma buergeri,0.1365,51.5,3.423614458,2.558467377,0.136412108
Glaucosoma hebraicum,0.111,97.95,3.982008881,3.026175917,0.110704949
Glossanodon semifasciatus,0.735,22.25,2.694660031,2.440566286,0.557065491
Glossogobius giuris,0.778,22.88,2.71891204,2.597573466,0.756243102
Glyptocephalus cynoglossus,0.2173125,43.83125,3.283567712,2.579206828,0.197532753
Glyptocephalus stelleri,0.14,55.9,3.494823616,2.640951651,0.14
Glyptocephalus zachirus,0.260675,38.75,3.176543414,2.562533136,0.243214645
Glyptosternon maculatum,0.101,40.15,3.207371099,2.198745713,0.098033524
Gnathanodon speciosus,0.394666667,96.05122,3.965005771,3.468366872,0.318684618
Gnathopogon strigatus,0.86,9.91,1.992147309,1.92664576,0.86
Gobiesox rhessodon,0.4,6.4,1.612359948,1.214419939,0.4
Gobio cynocephalus,0.245,19.25,2.568861468,1.916125544,0.22246622
Gobio gobio,0.302333333,18.83333333,2.549854386,2.024137755,0.298046049
Gobio soldatovi,0.31,14.6,2.328705712,1.820067405,0.31
Gobiobotia pappenheimi,0.31,6.72,1.654738546,1.14610024,0.31
Gobiomorphus breviceps,0.4,9.4,1.946255707,1.548315699,0.4
Gobionellus microdon,0.034,38.8,3.177663451,1.709142368,0.034
Gobionotothen gibberifrons,0.135,55.475,3.488194622,2.612966318,0.13328206
Gobiosoma robustum,1.4095,4.8,1.362482475,1.440664488,1.197242192
Gobius cobitis,0.217,25.3,2.806241042,2.142700776,0.217
Gobius niger,0.416428571,15.01428571,2.353009352,1.91208655,0.362307395
Gobius paganellus,0.569,12.7,2.207607442,1.941328587,0.541652991
Gobius vittatus,1.1,5.1,1.415140352,1.455381442,1.097087052
Gobiusculus flavescens,0.94,6.5,1.625826713,1.598954567,0.94
Gudusia chapra,1.325,14.25,2.307629729,2.429634598,1.324356385
Gymnapistes marmoratus,0.117,21.4,2.660827547,1.729013408,0.117
Gymnarchus niloticus,0.1455,189.5,4.555218429,3.707198934,0.141899382
Gymnelus viridis,0.13,22,2.684845362,1.798788714,0.13
Gymnocanthus detrisus,0.143333333,41.8,3.242352564,2.392947126,0.141447268
Gymnocanthus galeatus,0.11,55.9,3.494823616,2.536216301,0.11
Gymnocanthus pistilliger,0.257666667,22.2,2.692705949,2.061648471,0.233852772
Gymnocanthus tricuspis,0.3605,14.5,2.322736004,1.872782721,0.354851558
Gymnocephalus cernua,0.384555556,19.55555556,2.582540317,2.062209583,0.301765277
Gymnocranius audleyi,0.557,30.86913,2.979048779,2.724903975,0.557
Gymnocranius euanus,0.23,47.142855,3.34683176,2.706159604,0.228732483
Gymnocranius grandoculis,0.23,56.70388,3.507225554,2.86895339,0.23
Gymnocranius griseus,0.22,34.8,3.083158488,2.425581169,0.22
Gymnotus carapo,0.309,51.3,3.42023473,2.909905131,0.3087951
Haemulon album,0.195,76.79833333,3.77070359,3.058654747,0.194066761
Haemulon aurolineatum,0.262514286,29.82,2.949015278,2.302846754,0.225855919
Haemulon bonariense,0.183,46.58738,3.336536574,2.598987664,0.183
Haemulon flaviguttatum,0.115,46.87128,3.341813628,2.402511468,0.115
Haemulon flavolineatum,0.256333333,32.67366667,3.028395748,2.412088246,0.241931544
Haemulon maculicauda,0.12,30.9,2.979916959,2.059098205,0.12
Haemulon melanurum,0.32,38.32402,3.166942116,2.672092095,0.32
Haemulon parra,0.24,41.31552,3.232226446,2.612437688,0.24
Haemulon plumierii,0.295,44.10178571,3.288912349,2.709360778,0.263298526
Haemulon sciurus,0.26,41.13333333,3.22838781,2.638006281,0.256813868
Haemulon sexfasciatum,0.132,53.74194,3.460626679,2.581200611,0.132
Halichoeres hortulanus,0.72,28.6,2.912732066,2.770064563,0.72
Halichoeres marginatus,0.72,20,2.602059991,2.459392488,0.72
Halichoeres radiatus,0.6,45,3.306425028,3.084576278,0.6
Halichoeres scapularis,0.62,22.5,2.704365036,2.496756726,0.62
Hampala macrolepidota,0.555,47.53333333,3.353996542,3.078016633,0.529687947
Haplochromis macconneli,1.25,12,2.158362492,2.255272505,1.25
Harengula humeralis,0.72,19.0575,2.560131857,2.370797968,0.646645279
Harengula jaguana,0.615,19.87259,2.596508945,2.363656242,0.584988458
Harpadon nehereus,0.748142857,37.94285714,3.158260061,2.908991033,0.563288612
Helicolenus dactylopterus,0.126368182,37.88643045,3.156967379,2.187731609,0.107340652
Helicolenus lahillei,0.02,57.1,3.513272216,1.814302212,0.02
Helicolenus percoides,0.111833333,43.87333333,3.284401263,2.332673442,0.111756342
Hemerocoetes monopterygius,0.285,27.35,2.873914661,2.327011054,0.283854898
Hemibagrus baramensis,0.357333333,28.2,2.900498217,2.451262702,0.355438515
Hemibarbus labeo,0.181,54.5,3.472793005,2.728179007,0.180047047
Hemichromis fasciatus,0.923333333,21.71666667,2.673586331,2.602399317,0.848814885
Hemiculter leucisculus,0.243333333,22.13333333,2.690093649,2.038831068,0.223222218
Hemiculter lucidus,0.31,19.9,2.597706153,2.089067847,0.31
Hemigrammocapoeta kemali,0.401,8.73,1.882028487,1.48517286,0.401
Hemilepidotus zapus,0.12,38,3.159567193,2.238748439,0.12
Hemiramphus brasiliensis,0.7685,32.5046,3.023889652,2.893090401,0.73994723
Hemiramphus convexus,1.2,22.5,2.704365036,2.783546282,1.2
Hemisorubim platyrhynchos,0.222,64,3.612359948,2.958712922,0.222
Henicorhynchus siamensis,0.75,26.4,2.843207854,2.718269117,0.75
Hepsetus cuvieri,0.857333333,48.23188667,3.366668501,3.15625963,0.616014776
Hepsetus odoe,0.845,29.15,2.929277118,2.613013989,0.482766216
Herklotsichthys quadrimaculatus,2.41,14.319134,2.311833507,2.649554382,2.17631059
Hesperoleucus symmetricus,0.55,9.55,1.960006743,1.700369433,0.55
Heterandria bimaculata,0.31,7.265,1.722471237,1.202648041,0.302118141
Heterobranchus longifilis,0.11,116,4.128915978,3.170308664,0.11
Heteropneustes fossilis,0.9225,29,2.924795996,2.814087233,0.774981325
Heterotis niloticus,0.1973,127.686,4.212286564,3.432222909,0.165934368
Hexagrammos agrammus,0.7925,17.75,2.498396715,2.357925985,0.723651172
Hilsa kelee,1.1,21.5,2.66487692,2.706269605,1.1
Hiodon alosoides,0.12,48.2,3.366094076,2.445275323,0.12
Hiodon tergisus,0.21,32.4,3.02109002,2.343309315,0.21
Hippocampus comes,1.7,20.3,2.614992076,2.845440997,1.7
Hippocampus erectus,1.42,17.7,2.495946533,2.441251272,0.881667311
Hippocampus guttulatus,0.571,19.8,2.593330381,2.349966489,0.571
Hippocampus kuda,1.768,20.55,2.625623652,2.830884304,1.604207902
Hippocampus reidi,1.1425,20,2.602059991,2.658990907,1.140068419
Hippocampus whitei,1.6985,14.45,2.319735694,2.533687794,1.636636
Hippocampus zosterae,12,2,0.602059991,1.681241237,12
Hippoglossina stomata,0.1757,34.1,3.065508758,2.310280519,0.1757
Hippoglossoides dubius,0.100428571,80.67142857,3.813439495,2.493256131,0.047842805
Hippoglossoides elassodon,0.154,48.9925,3.380259203,2.492985886,0.129636317
Hippoglossoides platessoides,0.119615385,66.01538462,3.639290316,2.636145094,0.099278402
Hippoglossoides robustus,0.2225,30.35,2.964317391,2.309414594,0.22135901
Hippoglossus hippoglossus,0.0803375,218.125,4.677410889,3.444800491,0.058531493
Hippoglossus stenolepis,0.0626,188.68,4.551451735,3.311553947,0.057557538
Hipposcarus harid,0.17,44.6,3.298669717,2.529118639,0.17
Hipposcarus longiceps,0.389,39.45,3.192094015,2.758039965,0.368083161
Hirundichthys affinis,2.60375,29.5121125,2.940000595,3.333654595,2.475449095
Hirundichthys oxycephalus,1.1,33.65488,3.054096093,3.095488778,1.1
Histiobranchus bathybius,0.52,137,4.273441134,3.989444478,0.52
Holocentrus adscensionis,1.18,32.9,3.034391796,3.106273803,1.18
Holocentrus rufus,0.94,29.2,2.930765703,2.903893556,0.94
Hoplias malabaricus,0.079,96.5,3.969054627,2.866681718,0.079
Hoplosternum littorale,0.91,20.35,2.617128827,2.529320147,0.81694218
Hoplostethus atlanticus,0.0595,45.68695833,3.319584491,2.076642359,0.057155479
Hoplostethus mediterraneus,0.112333333,26.93333333,2.860580212,1.903266391,0.11032811
Howella brodiei,0.85,10,2,1.929418926,0.85
Hucho hucho,0.1,153,4.369382862,3.369382862,0.1
Hucho taimen,0.08375,140.6,4.295970641,3.2157972,0.083143166
Huso dauricus,0.0515,376.350005,5.151183852,3.788710002,0.04340364
Huso huso,0.042714286,432.3142871,5.271599177,3.694776593,0.026495823
Hybognathus nuchalis,0.2,18,2.51054501,1.811575006,0.2
Hydrocynus forskahlii,0.326333333,69.5555,3.684662954,3.127359728,0.277138444
Hydrocynus vittatus,0.310666667,70.11642867,3.691639575,3.136525633,0.27853903
Hydrolagus colliei,0.2085,87.5,3.884016106,3.198222497,0.206160942
Hymenocephalus italicus,0.20375,5.23,1.437003378,0.741174621,0.201451842
Hyperoglyphe antarctica,0.1772,107.937754,4.066346754,3.142462172,0.119155863
Hyperoplus lanceolatus,0.4,29.8,2.948432528,2.550492519,0.4
Hyperprosopon anale,0.6,12.8,2.214419939,1.99257119,0.6
Hypomesus olidus,1.65,11.5,2.121395681,2.338879625,1.65
Hypophthalmichthys molitrix,0.2538,110.4884,4.086633369,3.436083193,0.223588686
Hypophthalmichthys nobilis,0.17716,162.688356,4.422712941,3.646993561,0.167602549
Hypophthalmus edentatus,0.1975,61.15,3.572792923,2.836445044,0.183506783
Hypophthalmus marginatus,0.555,52.63,3.44246674,3.186759723,0.555
Hypoptychus dybowskii,3.8325,7.175,1.711643811,2.294166885,3.824045708
Hyporhamphus australis,0.96,31,2.982723388,2.958267857,0.945245176
Hyporhamphus intermedius,0.68,18.9,2.552923608,2.385432521,0.68
Hyporhamphus melanochir,0.619,41.485185,3.235786062,3.022817022,0.612394046
Hyporhamphus regularis,0.72,23.35,2.73657377,2.592659877,0.717936622
Hyporhamphus unifasciatus,1.46,30.4,2.965747167,3.130100023,1.46
Hyporthodus flavolimbatus,0.151,89.5,3.903646071,3.065022065,0.145002669
Hyporthodus nigritus,0.0935,201,4.606392115,3.508430791,0.079806576
Hyporthodus niveatus,0.091333333,123.0333317,4.180045569,3.120681879,0.087224062
Hyporthodus octofasciatus,0.11,113.5,4.109991723,3.150971232,0.109895399
Hyporthodus quernus,0.138,97.65,3.979344495,3.104201586,0.133308269
Hypostomus albopunctatus,0.093,48.75,3.37594924,2.336643617,0.091347019
Iberochondrostoma lemmingii,0.223,12.5,2.193820026,1.542124889,0.223
Icelus canaliculatus,0.37,21.4,2.660827547,2.22725547,0.368491881
Icelus perminovi,0.23,19.75,2.5911342,1.934874451,0.220668453
Icelus spiniger,0.135,29.25,2.932251741,2.062133855,0.134859677
Ichthyborus besse,0.61,22,2.684845362,2.470175197,0.61
Ichthyomyzon greeleyi,0.214,22.4,2.700496037,2.023673467,0.210463811
Icosteus aenigmaticus,0.13,214,4.660827547,3.774770899,0.13
Ictalurus punctatus,0.058,101.2,4.010361025,2.759882651,0.056172225
Idiacanthus antrostomus,0.5,38,3.159567193,2.858537198,0.5
Ilisha africana,1.375,27.22528,2.86994471,2.965728221,1.246761868
Ilisha filigera,0.75,40.45547,3.213954502,3.089015765,0.75
Inimicus japonicus,0.209,32.4,3.02109002,2.341236307,0.209
Isogomphodon oxyrhynchus,0.114,168.5,4.45319981,3.509802739,0.113920774
Isopsetta isolepis,0.31,40,3.204119983,2.688670811,0.305176318
Istiompax indica,0.474,317.88174,5.004531163,4.680309505,0.474
Istiophorus albicans,0.6098,211.4,4.650209966,4.285382432,0.431690474
Istiophorus platypterus,0.447,243.56235,4.773220311,4.281559773,0.322358749
Isurus oxyrinchus,0.1109,322.195386,5.016238634,3.970474676,0.08999866
Jaydia lineata,0.805,9.65,1.969054627,1.812678088,0.697627291
Jenkinsia lamprotaenia,3.34,5.81053,1.528431496,2.052177962,3.34
Jenynsia lineata,1.751,6.3,1.598681099,1.72854744,1.348547789
Jenynsia multidentata,0.445,7.8,1.784189205,1.387430854,0.401089828
Johnius borneensis,0.677,35.35,3.096778836,2.9213346,0.667660623
Johnius carutta,0.583,29.6,2.942583422,2.687938646,0.556359136
Johnius coitor,1.05,26.5,2.846491748,2.867681047,1.05
Johnius dussumieri,0.98425,25.725,2.820710767,2.805452252,0.965476007
Johnius macrorhynus,0.7105,34.225,3.068686914,2.915053942,0.702048359
Kajikia albida,0.58,303.92438,4.965531079,4.728959072,0.58
Kajikia audax,0.456428571,282.44251,4.901860125,4.496746639,0.393447251
Kali kerberti,0.67,15,2.352182518,2.178257321,0.67
Karalepis stewarti,0.54,17.6,2.491025336,2.223419095,0.54
Karalla daura,2.014,9.04,1.912336861,2.188469944,1.888569983
Kareius bicoloratus,0.25625,46.125,3.327872758,2.696608228,0.233741308
Kathetostoma averruncus,0.32,33,3.03702788,2.542177858,0.32
Kathetostoma giganteum,0.1725,68.25,3.668205311,2.896403039,0.169121074
Katsuwonus pelamis,0.610074074,85.99403704,3.868936675,3.585246841,0.520367502
Konosirus punctatus,0.266,26.7,2.853022523,2.277142433,0.265533861
Kuhlia sandvicensis,0.33,25.4,2.809667433,2.328181373,0.33
Kyphosus cinerascens,0.25,52.21207,3.435541823,2.833481832,0.25
Labeo bata,1.5,32.1,3.013010065,3.189101324,1.5
Labeo boggut,0.55,23.05,2.725341859,2.463655148,0.547410709
Labeo calbasu,0.145,98.7,3.988634305,3.148918866,0.144638717
Labeo coubie,0.16825,95.1725,3.957022955,3.069294355,0.129500486
Labeo dussumieri,0.731,48.15,3.365192583,3.228315518,0.729664025
Labeo fimbriatus,0.1625,90.5,3.913297158,3.102128711,0.154465521
Labeo gonius,0.21,45,3.306425028,2.628644322,0.21
Labeo horie,0.15,106,4.050611731,3.22670299,0.15
Labeo lunatus,0.6,48,3.362482475,3.140633725,0.6
Labeo niloticus,0.497333333,64.26666667,3.61597155,3.297442137,0.480253554
Labeo rohita,0.329,96.6,3.969954253,3.480081233,0.323688284
Labeo senegalensis,0.32475,46.65,3.337703296,2.790388859,0.283586507
Labeobarbus aeneus,0.153666667,70.95,3.7019048,2.708031452,0.101420711
Labeobarbus kimberleyensis,0.075,90.75,3.915693267,2.787158326,0.074381522
Labidesthes sicculus,3.7,9.2,1.927575655,2.495777379,3.7
Labrus bergylta,0.1228,49.34,3.38639829,2.44730845,0.115056235
Labrus merula,0.275,37.76666667,3.15421731,2.577764608,0.265183988
Labrus mixtus,0.113,38.5,3.170921459,2.211378966,0.109763389
Lachnolaimus maximus,0.2115,60.99751167,3.570624238,2.715150004,0.139484441
Lactarius lactarius,0.7415,29.5,2.939644032,2.801568001,0.727652404
Ladislavia taczanowskii,0.17,18,2.51054501,1.740993932,0.17
Laemonema longipes,0.163333333,67.03333333,3.652581632,2.863526932,0.162534403
Lagocephalus sceleratus,1.5,18,2.51054501,2.686636269,1.5
Lagodon rhomboides,0.553,25.86,2.825257041,2.482979563,0.454697454
Lamna ditropis,0.2,195.099995,4.580514517,3.874873301,0.19695127
Lamna nasus,0.085666667,306.3333333,4.972388513,3.885880241,0.081939202
Lampanyctodes hectoris,0.31,10,2,1.491361694,0.31
Lampetra planeri,0.164,21.8,2.676912987,1.891756835,0.164
Larimichthys polyactis,0.3866,33.98,3.062446749,2.576857126,0.32689658
Larimus fasciatus,0.98,17.8,2.500840005,2.49206608,0.98
Lateolabrax japonicus,0.18425,97.25,3.97577922,3.220872817,0.175830251
Lates angustifrons,0.25,195,4.580069223,3.978009231,0.25
Lates calcarifer,0.389428571,123.3714286,4.182429187,3.393084902,0.162426062
Lates longispinis,0.32,64.8,3.623150012,3.12829999,0.32
Lates mariae,0.22075,80,3.806179974,3.127748331,0.20968548
Lates microlepis,0.34,108,4.066847511,3.598326428,0.34
Lates niloticus,0.193,167.2222222,4.446587981,3.668244181,0.166592789
Lates stappersii,0.377153846,49.43076923,3.387994738,2.958627704,0.372077121
Latimeria chalumnae,0.156,189.6666667,4.555982023,3.66320778,0.128004653
Latridopsis ciliaris,0.208,78.82353,3.79331176,3.111375095,0.208
Latris lineata,0.43,53.3,3.453454418,3.086922874,0.43
Leiognathus brevirostris,1.385,13.5024425,2.260824673,2.373148285,1.295160564
Leiognathus equulus,1.032785714,24.52789357,2.779320506,2.743556348,0.920949554
Leiopotherapon plumbeus,0.78,16,2.408239965,2.300334568,0.78
Leiostomus xanthurus,0.681666667,27.33333333,2.873385195,2.675661397,0.634272966
Leocottus kesslerii,0.23,14,2.292256071,1.653983907,0.23
Lepidion eques,0.15,42.6,3.258819198,2.434910457,0.15
Lepidion lepidion,0.45,35,3.088136089,2.741348602,0.45
Lepidocephalichthys guntea,0.71,14.98,2.351023627,2.189747871,0.689801675
Lepidogalaxias salamandroides,0.955,5.875,1.538015742,1.468619153,0.852321435
Lepidogobius lepidus,0.13,10,2,1.113943352,0.13
Lepidonotothen squamifrons,0.1095,50.36666667,3.404286419,2.418789189,0.103395769
Lepidophanes guentheri,1.825,7.3,1.72664572,1.987908589,1.825
Lepidopsetta bilineata,0.126666667,53.22888889,3.452294801,2.527064646,0.118787254
Lepidopsetta polyxystra,0.2485,40.55,3.215981717,2.60929691,0.247351867
Lepidopus caudatus,0.281333333,159.616665,4.406156465,3.771299289,0.231815688
Lepidorhombus boscii,0.191903846,37.86653846,3.156511213,2.409531077,0.179068776
Lepidorhombus whiffiagonis,0.16872973,54.27,3.469119643,2.608948952,0.137984184
Lepidotrigla cavillone,0.4155,15.825,2.398687437,1.968855344,0.3716789
Lepisosteus osseus,0.098,127.5,4.21102037,3.190599864,0.095406836
Lepisosteus platyrhincus,0.36525,57.7,3.522351626,2.991632259,0.294632487
Lepomis gibbosus,0.2,22.3,2.696609726,1.997639722,0.2
Lepomis macrochirus,0.3714,23.58,2.745087602,2.25699483,0.325017862
Lepomis megalotis,0.195,18.925,2.554071776,1.827273692,0.187586645
Leporinus friderici,0.248,47.41224,3.351780948,2.746232629,0.248
Leporinus obtusidens,0.19,72.4,3.719477132,2.998230733,0.19
Leptomelanosoma indicum,0.189,150,4.352182518,3.628644322,0.189
Leptoscarus vaigiensis,2.3,33.7,3.055259802,3.416987638,2.3
Lepturacanthus savala,0.75,108,4.066847511,3.941908774,0.75
Lestidiops ringens,0.7,21,2.644438589,2.489536629,0.7
Lestrolepis japonica,1.776,17.2,2.471056894,2.720499855,1.776
Lesueurigobius friesii,0.7,6.5,1.625826713,1.470924753,0.7
Lethenteron appendix,0.12,35,3.088136089,2.167317335,0.12
Lethrinops longipinnis,0.571,20.2,2.610702739,2.367338847,0.571
Lethrinops parvidens,0.487,20.8,2.63612667,2.323655631,0.487
Lethrinus atkinsoni,0.3,45.9883725,3.325296081,2.797353913,0.296522622
Lethrinus borbonicus,0.79,25.1,2.799347443,2.694075754,0.784744554
Lethrinus enigmaticus,0.152666667,54.06666667,3.46585919,2.64364872,0.15058771
Lethrinus erythracanthus,0.38,46.133915,3.328040622,2.808560515,0.302356906
Lethrinus genivittatus,0.865,19.71591,2.589633654,2.524730285,0.861185346
Lethrinus harak,0.466666667,40.60241333,3.217103696,2.885725866,0.46625357
Lethrinus lentjan,0.494875,40.2638625,3.209830869,2.767299049,0.360967565
Lethrinus mahsena,0.1735,50.569402,3.407775636,2.574571233,0.146823508
Lethrinus microdon,0.483333333,50,3.397940009,2.947629837,0.354560073
Lethrinus miniatus,0.298153846,57.24018077,3.515401993,2.879448269,0.231231116
Lethrinus nebulosus,0.235291667,72.68665542,3.722909372,3.008999239,0.193236814
Lethrinus obsoletus,0.38,35.48748,3.100150322,2.679933918,0.38
Lethrinus olivaceus,0.2685,84.9059125,3.857875868,3.151280839,0.196519193
Lethrinus ornatus,0.506666667,40.29166667,3.210430465,2.913976179,0.50529583
Lethrinus rubrioperculatus,0.22,33.91397,3.060757263,2.403179944,0.22
Lethrinus semicinctus,0.675,34.390245,3.07287054,2.896930302,0.666898533
Lethrinus variegatus,0.46,32.102175,3.013068916,2.658918431,0.44243504
Lethrinus xanthochilus,0.1975,66.98231,3.651920242,2.924891976,0.187487248
Leucaspius delineatus,0.319,11.45,2.117610973,1.605162037,0.307291865
Leuciscus aspius,0.2615,77.575,3.779443569,3.106423508,0.212314639
Leuciscus baicalensis,0.21,24.7,2.785393907,2.107613201,0.21
Leuciscus idus,0.1225,54.375,3.47079854,2.54492262,0.118610758
Leuciscus leuciscus,0.231207143,28.84,2.919990512,2.236019192,0.207027806
Leuciscus vorax,0.10115,118.5,4.147436701,3.118931936,0.093647295
Leuciscus waleckii,0.18,32.3,3.018405045,2.27367755,0.18
Leucoraja erinacea,0.2525,56.575,3.505249125,2.887058617,0.240884853
Leucoraja naevus,0.134,83.4,3.842332101,2.956885183,0.130182642
Leucoraja ocellata,0.1394,108.64,4.071979514,3.1419966,0.117494378
Leucoraja wallacei,0.26,42.2,3.250624902,2.66559825,0.26
Leuresthes tenuis,0.36,18.1,2.51535715,2.070027099,0.358649268
Leuroglossus stilbius,0.24,17.8,2.500840005,1.881051246,0.24
Lile stolifera,1.356,15.65217,2.389149112,2.521408802,1.356
Limanda aspera,0.132384615,46.16153846,3.328560549,2.413130903,0.121498343
Limanda ferruginea,0.335,50,3.397940009,2.922984816,0.335
Limanda limanda,0.36595,32.375,3.020419554,2.535800562,0.327627998
Limanda punctatissima,0.1,58.3,3.53133711,2.53133711,0.1
Limanda sakhalinensis,0.14,37.3,3.143417664,2.289545699,0.14
Limnocottus godlewskii,0.34,15.3,2.369382862,1.900861779,0.34
Limnocottus pallidus,0.23,15,2.352182518,1.713910354,0.23
Limnothrissa miodon,1.748461538,13.29384615,2.247301297,2.379943737,1.357195592
Liopsetta glacialis,0.08,32.2,3.015711743,1.882511856,0.073586833
Liparis inquilinus,2.78,6.6,1.639087871,2.083132667,2.78
Liparis pulchellus,0.3,20,2.602059991,2.079181246,0.3
Lipocheilus carnolabrum,0.214,51.5,3.423614458,2.754028231,0.214
Lipophrys pholis,0.3,17,2.460897843,1.938019097,0.3
Lithognathus aureti,0.078666667,86.716,3.876198473,2.765531888,0.077505659
Lithognathus lithognathus,0.101,128,4.214419939,3.218741313,0.101
Lithognathus mormyrus,0.220727273,36.29090909,3.119595695,2.446206151,0.212134085
Liza abu,0.4085,20.95,2.642368055,2.238801681,0.394851349
Liza argentea,0.46,27.775,2.887308135,2.544760481,0.454414672
Liza aurata,0.254588235,53.51091059,3.456884683,2.754562264,0.198462099
Liza grandisquamis,0.186,55.2,3.483878155,2.7533911,0.186
Liza haematocheila,0.1835,82.6,3.833960095,3.068558059,0.171631882
Liza ramada,0.2615,47.261423,3.349013587,2.710332126,0.22978334
Liza saliens,0.250461538,38.14152462,3.162796098,2.515330194,0.22518222
Lobianchia dofleini,1.386,4.6,1.325515663,1.467278894,1.386
Lobocheilos bo,0.333,20.76459,2.634646721,2.157090954,0.333
Lobotes surinamensis,0.68,70.3,3.69391065,3.526419563,0.68
Lophius americanus,0.084,167,4.445432942,3.352532976,0.080742099
Lophius budegassa,0.114727273,91.49090909,3.922755886,2.935005522,0.102860738
Lophius piscatorius,0.13225,142.4937494,4.307591628,3.342906584,0.108471328
Lophius vomerinus,0.086666667,101.7666667,4.015211099,2.877853798,0.072885762
Lopholatilus chamaeleonticeps,0.123333333,91.63435167,3.924116623,2.994982829,0.117724324
Lopholatilus villarii,0.085222222,107.6666667,4.064162535,2.927319039,0.072972043
Lota lota,0.1255,101.9470075,4.016748964,3.028884816,0.102833792
Luciobarbus bocagei,0.126666667,51.15535333,3.417782177,2.487703644,0.117468512
Luciobarbus brachycephalus,0.2505,88.05,3.889458721,2.959702301,0.11755567
Luciobarbus sclateri,0.07,48.558,3.372521582,2.217566224,0.069991394
Luciobarbus xanthopterus,0.090033333,127,4.207607442,3.130889259,0.083807294
Luciopimelodus pati,0.17,106,4.050611731,3.281060652,0.17
Lumpenus lampretaeformis,0.205,47.6,3.355213905,2.666967766,0.205
Lutjanus adetii,0.26375,34.2303025,3.068821474,2.45325116,0.242342557
Lutjanus analis,0.1493,97.74,3.980144669,3.111624868,0.135356838
Lutjanus apodus,0.35,36.6,3.126962171,2.671030215,0.35
Lutjanus argentimaculatus,0.1885,80.3,3.809431091,3.041561694,0.170659553
Lutjanus argentiventris,0.155,68.6,3.672648231,2.86297993,0.155
Lutjanus bohar,0.2142,69.28,3.681215758,2.950717809,0.185995335
Lutjanus boutton,0.6,19.6,2.584512143,2.362663393,0.6
Lutjanus buccanella,0.324,58.22,3.530144402,2.928087176,0.250001592
Lutjanus campechanus,0.1725,93.88712654,3.945212095,3.155368135,0.162239291
Lutjanus carponotatus,0.523428571,32.82857143,3.032503969,2.694023448,0.458690218
Lutjanus cyanopterus,0.125,105,4.042378598,3.139288611,0.125
Lutjanus ehrenbergii,0.915,23.15,2.729101991,2.688469034,0.910682609
Lutjanus erythropterus,0.363,64.75,3.622479546,3.161282812,0.345782705
Lutjanus fulviflamma,0.5875,26.3075,2.840159158,2.484617021,0.441019571
Lutjanus gibbus,0.355,45.75,3.320782197,2.866245777,0.351126478
Lutjanus griseus,0.181666667,63.62222222,3.607217668,2.839019177,0.170530281
Lutjanus guttatus,0.192,64.2,3.615070056,2.898371285,0.192
Lutjanus jocu,0.105,80.7,3.813747069,2.828382874,0.103427447
Lutjanus johnii,0.207,79.5,3.800734257,3.038311393,0.172813289
Lutjanus kasmira,0.2916,35.3,3.095549411,2.529949483,0.27189428
Lutjanus lutjanus,0.66925,25.2,2.802801082,2.613802998,0.647145472
Lutjanus mahogoni,0.097,61.8,3.58197695,2.568748684,0.097
Lutjanus malabaricus,0.204,85.73894118,3.866356232,3.13912396,0.187399198
Lutjanus monostigma,0.22,58.4,3.532825694,2.875248375,0.22
Lutjanus peru,0.174,83.33333333,3.841637508,3.03704269,0.156821348
Lutjanus purpureus,0.1072,94.26,3.948654871,2.973681078,0.105931765
Lutjanus quinquelineatus,0.307,22.20514286,2.692907143,2.159790568,0.293010663
Lutjanus rivulatus,0.22,80,3.806179974,3.148602655,0.22
Lutjanus sanguineus,0.236,89,3.898780013,3.271692016,0.236
Lutjanus sebae,0.200785714,89.05428714,3.899309663,3.166802533,0.18513685
Lutjanus synagris,0.229428571,48.72510607,3.375505586,2.669055502,0.196584791
Lutjanus timoriensis,0.25,39.5,3.193194191,2.5911342,0.25
Lutjanus vitta,0.471888889,34.73333333,3.081492928,2.675744753,0.392872676
Lutjanus vivanus,0.14025,70.325,3.694219482,2.728115667,0.108117548
Luxilus chrysocephalus,0.53,12.57798,2.1992218,1.923497669,0.53
Lycengraulis grossidens,0.39075,17.42,2.482096301,1.873294647,0.246149153
Lycodes albolineatus,0.2,77,3.77298145,3.074011446,0.2
Lycodes brunneofasciatus,0.2,79,3.795254183,3.096284178,0.2
Lycodes gracilis,0.265,21.4,2.660827547,1.992620446,0.214680649
Lycodes pacificus,0.31,24.5,2.778332169,2.269693863,0.31
Maccullochella ikei,0.168,86.4,3.873027485,3.098336767,0.168
Maccullochella peelii,0.171,94.75,3.953158437,3.122485857,0.147681951
Macquaria ambigua,0.543111111,50.58888889,3.408110282,3.076152704,0.465631575
Macquaria novemaculeata,0.17825,34.075,3.064871729,2.296818759,0.170587432
Macrhybopsis aestivalis,1.37,4.77,1.357036758,1.493757325,1.37
Macrodon ancylodon,0.424285714,44.25128571,3.291851787,2.837277541,0.351095897
Macrodon atricauda,0.8025,37.275,3.142835304,3.033258021,0.777003038
