"autoctr","sciname","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS","SpecCode"
3177,"Galaxias johnstoni",6515,30189,"unsexed",2,NA,30189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Clarence River","036",NA,"Gonadal development occurs in autumn of the second year (Ref. 30189).",2,"2000-12-16T00:00:00.000Z",NA,"2000-12-16T00:00:00.000Z",NA,NA,NA,6202
3097,"Galaxias occidentalis",17936,33843,"unsexed",NA,NA,33843,1,NA,NA,NA,NA,NA,NA,5.7,10,"TL",33843,7.5,NA,NA,NA,NA,"Collie River (near Bunbury, WA), Jan 1984-Dec 1985","036",380,NA,2,"2000-04-21T00:00:00.000Z",2,"2007-04-24T00:00:00.000Z",NA,NA,NA,22570
4876,"Galaxias occidentalis",17936,52191,"mixed",NA,NA,33843,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",33843,7,NA,NA,NA,NA,"south-western Australian river","036",NA,"Length assumed to be TL.",3,"2005-04-16T00:00:00.000Z",NA,"2005-04-16T00:00:00.000Z",NA,NA,NA,22570
2612,"Galaxias pedderensis",6517,26187,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,"FL",26187,NA,NA,NA,NA,NA,"Australia","036",NA,NA,10,"1998-02-27T00:00:00.000Z",NA,"1998-02-27T00:00:00.000Z",NA,NA,NA,6204
2613,"Galaxias pedderensis",6517,26187,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,"FL",26187,NA,NA,NA,NA,NA,"Australia","036",NA,NA,10,"1998-02-27T00:00:00.000Z",NA,"1998-02-27T00:00:00.000Z",NA,NA,NA,6204
8203,"Galaxias zebratus",11374,93592,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,4,"TL",93592,NA,NA,NA,NA,NA,"Not specified. ","710",NA,"Also Ref. 6461, 52193.",2304,"2013-06-04T20:26:45.000Z",2304,"2013-06-24T20:11:53.000Z",NA,NA,NA,11050
2800,"Galaxiella munda",9788,6897,"female",NA,NA,6897,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6897,4.7,NA,NA,NA,NA,"Lefroy/Big Brook, Warren R., W. Australia, 1987-88","036",NA,NA,3,"1994-05-04T00:00:00.000Z",NA,"1999-03-12T00:00:00.000Z",NA,NA,NA,9464
2801,"Galaxiella munda",9788,6897,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6897,4.3,NA,NA,NA,NA,"Lefroy/Big Brook, Warren R., W. Australia, 1987-88","036",NA,NA,3,"1994-05-04T00:00:00.000Z",NA,"1999-03-10T00:00:00.000Z",NA,NA,NA,9464
2802,"Galaxiella nigrostriata",9801,6849,"female",1,NA,33842,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6849,3.7,NA,NA,NA,NA,"D`Entrecasteaux National Park, 1991-92","036",NA,NA,3,"1994-05-04T00:00:00.000Z",2,"2001-11-16T00:00:00.000Z",NA,NA,NA,9476
2803,"Galaxiella nigrostriata",9801,6849,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6849,3.3,NA,NA,NA,NA,"D`Entrecasteaux National Park, 1991-92","036",NA,NA,3,"1994-05-04T00:00:00.000Z",NA,"1994-05-04T00:00:00.000Z",NA,NA,NA,9476
2804,"Galaxiella pusilla",9803,6849,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",6851,2.4,NA,NA,NA,NA,"Diamond Creek, Victoria","036",NA,NA,3,"1994-05-04T00:00:00.000Z",NA,"1994-05-04T00:00:00.000Z",NA,NA,NA,9481
5709,"Galaxiella pusilla",9803,44894,"unsexed",NA,NA,44894,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to be filled","036",380,NA,2,"2007-04-25T00:00:00.000Z",NA,"2007-04-25T00:00:00.000Z",NA,NA,NA,9481
5708,"Paragalaxias dissimilis",14131,44894,"unsexed",NA,NA,44894,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to be filled","036",380,NA,2,"2007-04-25T00:00:00.000Z",NA,"2007-04-25T00:00:00.000Z",NA,NA,NA,14287
5707,"Paragalaxias eleotroides",14132,44894,"unsexed",NA,NA,44894,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"to be filled","036",380,NA,2,"2007-04-25T00:00:00.000Z",NA,"2007-04-25T00:00:00.000Z",NA,NA,NA,14288
6266,"Culaea inconstans",3467,59043,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not specified",NA,NA,NA,1790,"2008-01-29T20:31:44.000Z",NA,"2008-01-29T20:31:44.000Z",NA,NA,NA,3271
1865,"Gasterosteus aculeatus",2615,796,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,"Cheshire, England","826A",NA,NA,3,"1991-10-17T00:00:00.000Z",NA,"1994-09-30T00:00:00.000Z",NA,NA,NA,2420
1866,"Gasterosteus aculeatus",2615,981,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,5.5,NA,NA,NA,NA,"Roscoff (brackish waters)","250",NA,NA,3,"1991-10-16T00:00:00.000Z",NA,"1999-09-27T00:00:00.000Z",NA,NA,NA,2420
1867,"Gasterosteus aculeatus",2615,981,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,4.5,NA,NA,NA,NA,"Roscoff (brackish waters)","250",NA,NA,3,"1991-10-16T00:00:00.000Z",NA,"1999-09-27T00:00:00.000Z",NA,NA,NA,2420
1868,"Gasterosteus aculeatus",2615,27547,"unsexed",1,2,28965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not specified",NA,NA,"Sexual maturity of the anadromous form is more often reached at age 1 (Ref. 28965).",113,"1999-04-15T00:00:00.000Z",NA,"1999-04-15T00:00:00.000Z",NA,NA,NA,2420
3877,"Gasterosteus aculeatus",2615,41851,"mixed",1,2,41851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Schleswig-Holstein","276",NA,NA,1,"2002-07-19T00:00:00.000Z",NA,"2002-07-19T00:00:00.000Z",NA,NA,NA,2420
5398,"Gasterosteus aculeatus",2615,56557,"unsexed",NA,NA,56557,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primorye","643",NA,NA,1287,"2006-03-27T20:47:58.000Z",NA,"2006-03-27T20:47:58.000Z",NA,NA,NA,2420
6267,"Gasterosteus aculeatus",2615,59034,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Europe (freshwater populations)",NA,NA,"Usually spawn fo rthe first time at 1 year.",1790,"2008-01-29T20:36:06.000Z",10,"2010-06-23T00:00:00.000Z",NA,NA,NA,2420
7381,"Gasterosteus gymnurus",55432,59043,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not specified",NA,NA,NA,10,"2010-06-23T00:00:00.000Z",NA,"2010-06-23T00:00:00.000Z",NA,NA,NA,65316
6269,"Pungitius laevis",40526,59043,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not specified",NA,NA,NA,1790,"2008-01-29T20:59:02.000Z",NA,"2008-01-29T20:59:02.000Z",NA,NA,NA,48259
6270,"Pungitius platygaster",18188,59043,"unsexed",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not specified",NA,NA,NA,1790,"2008-01-29T21:08:20.000Z",NA,"2008-01-29T21:08:20.000Z",NA,NA,NA,22914
2021,"Pungitius pungitius",3469,796,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,"Cheshire, England","826A",NA,NA,3,"1991-10-17T00:00:00.000Z",NA,"1994-09-30T00:00:00.000Z",NA,NA,NA,3273
