"sname","genus","fam","ord","class","agem","maxl","vbk","temp"
"Pictichromis porphyrea","Pictichromis","Pseudochromidae","Perciformes","Actinopterygii",NA,6,NA,25
"Pictilabrus brauni","Pictilabrus","Labridae","Perciformes","Actinopterygii",NA,7.4,NA,NA
"Pictilabrus laticlavius","Pictilabrus","Labridae","Perciformes","Actinopterygii",NA,23,NA,NA
"Pictilabrus viridis","Pictilabrus","Labridae","Perciformes","Actinopterygii",NA,14.05,NA,NA
"Piedrabuenia ringueleti","Piedrabuenia","Zoarcidae","Perciformes","Actinopterygii",NA,24.2,NA,NA
"Pillaia indica","Pillaia","Chaudhuriidae","Synbranchiformes","Actinopterygii",NA,7.7,NA,NA
"Pillaia kachinica","Pillaia","Chaudhuriidae","Synbranchiformes","Actinopterygii",NA,6.07,NA,21.5
"Pimelabditus moli","Pimelabditus","Pimelodidae","Siluriformes","Actinopterygii",NA,14.09,NA,NA
"Pimelodella altipinnis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,6.4,NA,NA
"Pimelodella australis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10.6,NA,NA
"Pimelodella avanhandavae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.6,NA,NA
"Pimelodella boliviana","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9,NA,NA
"Pimelodella boschmai","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella brasiliensis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,18,NA,NA
"Pimelodella breviceps","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,36,NA,NA
"Pimelodella buckleyi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,16,NA,NA
"Pimelodella chagresi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15.4,NA,24.5
"Pimelodella chaparae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,5.1,NA,NA
"Pimelodella conquetaensis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.4,NA,NA
"Pimelodella cristata","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,34,NA,NA
"Pimelodella cruxenti","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,11.1,NA,NA
"Pimelodella dorseyi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,12.4,NA,NA
"Pimelodella eigenmanni","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.4,NA,NA
"Pimelodella elongata","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,16.9,NA,NA
"Pimelodella enochi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,5.9,NA,NA
"Pimelodella eutaenia","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,14.5,NA,NA
"Pimelodella figueroai","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.1,NA,NA
"Pimelodella geryi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,5.8,NA,NA
"Pimelodella gracilis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,18,NA,22
"Pimelodella griffini","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.8,NA,NA
"Pimelodella grisea","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,14,NA,NA
"Pimelodella harttii","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15,NA,NA
"Pimelodella hartwelli","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,12.5,NA,NA
"Pimelodella hasemani","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.1,NA,NA
"Pimelodella howesi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,7.9,NA,NA
"Pimelodella ignobilis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella itapicuruensis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10.4,NA,NA
"Pimelodella kronei","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,20.2,NA,18.125
"Pimelodella lateristriga","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15.1,NA,23
"Pimelodella laticeps","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9,NA,NA
"Pimelodella laurenti","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,7.1,NA,NA
"Pimelodella leptosoma","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8,NA,NA
"Pimelodella linami","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,7.5,NA,NA
"Pimelodella longipinnis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.8,NA,NA
"Pimelodella macrocephala","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,2.6,NA,NA
"Pimelodella macturki","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,11,NA,NA
"Pimelodella martinezi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,6.8,NA,NA
"Pimelodella meeki","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10.2,NA,NA
"Pimelodella megalops","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella megalura","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,22,NA,NA
"Pimelodella metae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella modestus","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,12.1,NA,NA
"Pimelodella montana","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.3,NA,NA
"Pimelodella mucosa","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,13.5,NA,NA
"Pimelodella notomelas","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,6,NA,NA
"Pimelodella odynea","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella ophthalmica","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,14.5,NA,NA
"Pimelodella pallida","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.4,NA,NA
"Pimelodella papariae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,13.5,NA,NA
"Pimelodella pappenheimi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15,NA,NA
"Pimelodella parnahybae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.5,NA,NA
"Pimelodella parva","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,2.8,NA,NA
"Pimelodella pectinifer","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15,NA,NA
"Pimelodella peruana","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,5.2,NA,NA
"Pimelodella peruensis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,5.2,NA,NA
"Pimelodella procera","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10,NA,NA
"Pimelodella rendahli","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.7,NA,NA
"Pimelodella reyesi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.9,NA,NA
"Pimelodella robinsoni","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.7,NA,NA
"Pimelodella roccae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,18.2,NA,NA
"Pimelodella rudolphi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,10.5,NA,NA
"Pimelodella serrata","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,11,NA,NA
"Pimelodella spelaea","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.05,NA,NA
"Pimelodella steindachneri","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,21.2,NA,23
"Pimelodella taeniophora","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,8.5,NA,NA
"Pimelodella taenioptera","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,12.1,NA,NA
"Pimelodella tapatapae","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,15.6,NA,NA
"Pimelodella transitoria","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,13,NA,NA
"Pimelodella vittata","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,9.7,NA,NA
"Pimelodella wesselii","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,19.8,NA,NA
"Pimelodella witmeri","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,16.8,NA,NA
"Pimelodella wolfi","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,11.6,NA,NA
"Pimelodella yuncensis","Pimelodella","Heptapteridae","Siluriformes","Actinopterygii",NA,4.8,NA,NA
"Pimelodus absconditus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,28.7,NA,NA
"Pimelodus albicans","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,57,0.24,20
"Pimelodus albofasciatus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,25,NA,23.5
"Pimelodus argenteus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,25,NA,NA
"Pimelodus atrobrunneus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,25.7,NA,NA
"Pimelodus blochii","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,35,NA,23
"Pimelodus brevis","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,28.5,NA,NA
"Pimelodus britskii","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,30,NA,NA
"Pimelodus coprophagus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,25,NA,NA
"Pimelodus fur","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,17,NA,NA
"Pimelodus halisodous","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,11.07,NA,NA
"Pimelodus joannis","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,7.69,NA,NA
"Pimelodus luciae","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,8.72,NA,NA
"Pimelodus maculatus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,51,NA,22
"Pimelodus microstoma","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,18,NA,NA
"Pimelodus multicratifer","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,19.8,NA,NA
"Pimelodus mysteriosus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,14.3,NA,NA
"Pimelodus navarroi","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,30,NA,NA
"Pimelodus ornatus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,38.5,NA,24.5
"Pimelodus ortmanni","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,16.15,NA,NA
"Pimelodus pantaneiro","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,25.64,NA,NA
"Pimelodus paranaensis","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,23.05,NA,NA
"Pimelodus pictus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,11,NA,23.5
"Pimelodus pintado","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,28.05,NA,NA
"Pimelodus platicirris","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,16,NA,NA
"Pimelodus pohli","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,15.03,NA,NA
"Pimelodus stewarti","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,6.61,NA,NA
"Pimelodus tetramerus","Pimelodus","Pimelodidae","Siluriformes","Actinopterygii",NA,17.2,NA,NA
"Pimephales notatus","Pimephales","Cyprinidae","Cypriniformes","Actinopterygii",NA,11,NA,16.64999962
"Pimephales promelas","Pimephales","Cyprinidae","Cypriniformes","Actinopterygii",1.75,10.1,0.704386807,16.60000038
"Pimephales tenellus","Pimephales","Cyprinidae","Cypriniformes","Actinopterygii",NA,7,NA,NA
"Pimephales vigilax","Pimephales","Cyprinidae","Cypriniformes","Actinopterygii",NA,9.2,NA,NA
"Pingalla gilberti","Pingalla","Terapontidae","Perciformes","Actinopterygii",NA,10.5,NA,NA
"Pingalla lorentzi","Pingalla","Terapontidae","Perciformes","Actinopterygii",NA,20,NA,NA
"Pingalla midgleyi","Pingalla","Terapontidae","Perciformes","Actinopterygii",NA,15,NA,29
"Pinguipes brasilianus","Pinguipes","Pinguipedidae","Perciformes","Actinopterygii",NA,70,NA,NA
"Pinguipes chilensis","Pinguipes","Pinguipedidae","Perciformes","Actinopterygii",NA,51,NA,NA
"Pinirampus pirinampu","Pinirampus","Pimelodidae","Siluriformes","Actinopterygii",NA,120,NA,25
"Pinjalo lewisi","Pinjalo","Lutjanidae","Perciformes","Actinopterygii",NA,50,NA,NA
"Pinjalo pinjalo","Pinjalo","Lutjanidae","Perciformes","Actinopterygii",NA,80,NA,NA
"Pinniwallago kanpurensis","Pinniwallago","Siluridae","Siluriformes","Actinopterygii",NA,50,NA,NA
"Pisodonophis boro","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,100,NA,NA
"Pisodonophis cancrivorus","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,108,NA,NA
"Pisodonophis copelandi","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,30.8,NA,NA
"Pisodonophis daspilotus","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,68,NA,NA
"Pisodonophis hoeveni","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,22,NA,NA
"Pisodonophis hypselopterus","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,75,NA,NA
"Pisodonophis semicinctus","Pisodonophis","Ophichthidae","Anguilliformes","Actinopterygii",NA,80,NA,NA
"Pituna brevirostrata","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,2.62,NA,NA
"Pituna compacta","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,3.97,NA,27
"Pituna obliquoseriata","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,3.75,NA,NA
"Pituna poranga","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,3.26,NA,NA
"Pituna schindleri","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,4.01,NA,NA
"Pituna xinguensis","Pituna","Rivulidae","Cyprinodontiformes","Actinopterygii",NA,2.86,NA,NA
"Placidochromis acuticeps","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,10.3,NA,NA
"Placidochromis acutirostris","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,11.35,NA,NA
"Placidochromis argyrogaster","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,11.4,NA,NA
"Placidochromis boops","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,11.15,NA,NA
"Placidochromis borealis","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.45,NA,NA
"Placidochromis chilolae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.35,NA,NA
"Placidochromis communis","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.65,NA,NA
"Placidochromis domirae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,9.3,NA,NA
"Placidochromis ecclesi","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.3,NA,NA
"Placidochromis electra","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,12,NA,25
"Placidochromis elongatus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.5,NA,NA
"Placidochromis fuscus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.9,NA,NA
"Placidochromis hennydaviesae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Placidochromis intermedius","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.9,NA,NA
"Placidochromis johnstoni","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,20,NA,25
"Placidochromis koningsi","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.7,NA,NA
"Placidochromis lineatus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,9.05,NA,NA
"Placidochromis longimanus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,14.5,NA,NA
"Placidochromis longirostris","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,12.75,NA,NA
"Placidochromis longus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,4.85,NA,NA
"Placidochromis lukomae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.3,NA,NA
"Placidochromis macroceps","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,5.3,NA,NA
"Placidochromis macrognathus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,12.65,NA,NA
"Placidochromis mbunoides","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.25,NA,NA
"Placidochromis milomo","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,18.7,NA,24.5
"Placidochromis minor","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,4.9,NA,NA
"Placidochromis minutus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.05,NA,NA
"Placidochromis msakae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.9,NA,NA
"Placidochromis nigribarbis","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.4,NA,NA
"Placidochromis nkhatae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,9.8,NA,NA
"Placidochromis nkhotakotae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.5,NA,NA
"Placidochromis obscurus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.2,NA,NA
"Placidochromis ordinarius","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.7,NA,NA
"Placidochromis orthognathus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,10.3,NA,NA
"Placidochromis pallidus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,7.8,NA,NA
"Placidochromis phenochilus","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,15.7,NA,NA
"Placidochromis platyrhynchos","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Placidochromis polli","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,14.85,NA,NA
"Placidochromis rotundifrons","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.4,NA,NA
"Placidochromis subocularis","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,16.2,NA,NA
"Placidochromis trewavasae","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,6.5,NA,NA
"Placidochromis turneri","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,8.6,NA,NA
"Placidochromis vulgaris","Placidochromis","Cichlidae","Perciformes","Actinopterygii",NA,9.55,NA,NA
"Placocheilus caudofasciatus","Placocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,10.9,NA,NA
"Placocheilus cryptonemus","Placocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,11.55,NA,NA
"Placocheilus dulongensis","Placocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,12.5,NA,18
"Placocheilus robustus","Placocheilus","Cyprinidae","Cypriniformes","Actinopterygii",NA,10.91,NA,NA
"Plagiogeneion fiolenti","Plagiogeneion","Emmelichthyidae","Perciformes","Actinopterygii",NA,27,NA,NA
"Plagiogeneion geminatum","Plagiogeneion","Emmelichthyidae","Perciformes","Actinopterygii",NA,28,NA,NA
"Plagiogeneion macrolepis","Plagiogeneion","Emmelichthyidae","Perciformes","Actinopterygii",NA,47,NA,NA
"Plagiogeneion rubiginosum","Plagiogeneion","Emmelichthyidae","Perciformes","Actinopterygii",3,60,0.3,NA
"Plagiogeneion unispina","Plagiogeneion","Emmelichthyidae","Perciformes","Actinopterygii",NA,23.9,NA,NA
"Plagiognathops microlepis","Plagiognathops","Cyprinidae","Cypriniformes","Actinopterygii",4,70,NA,NA
"Plagiogrammus hopkinsii","Plagiogrammus","Stichaeidae","Perciformes","Actinopterygii",NA,20,NA,NA
"Plagiopsetta glossa","Plagiopsetta","Samaridae","Pleuronectiformes","Actinopterygii",NA,19,NA,NA
"Plagiopsetta gracilis","Plagiopsetta","Samaridae","Pleuronectiformes","Actinopterygii",NA,4.39,NA,NA
"Plagiopsetta stigmosa","Plagiopsetta","Samaridae","Pleuronectiformes","Actinopterygii",NA,16.77,NA,NA
"Plagioscion auratus","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",NA,34.6,NA,NA
"Plagioscion casattii","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",NA,33,NA,NA
"Plagioscion montei","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",NA,28.4,NA,NA
"Plagioscion squamosissimus","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",1.25,80,0.176883764,24.5
"Plagioscion surinamensis","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",NA,70,NA,NA
"Plagioscion ternetzi","Plagioscion","Sciaenidae","Perciformes","Actinopterygii",NA,39,NA,NA
"Plagiotremus azaleus","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Plagiotremus ewaensis","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,10.2,NA,NA
"Plagiotremus goslinei","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,6.35,NA,NA
"Plagiotremus iosodon","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,4.5,NA,NA
"Plagiotremus laudandus","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Plagiotremus phenax","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Plagiotremus rhinorhynchos","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,12,NA,NA
"Plagiotremus spilistius","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,17.4,NA,NA
"Plagiotremus tapeinosoma","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Plagiotremus townsendi","Plagiotremus","Blenniidae","Perciformes","Actinopterygii",NA,6,NA,NA
"Plagopterus argentissimus","Plagopterus","Cyprinidae","Cypriniformes","Actinopterygii",NA,10,NA,NA
"Planaltina myersi","Planaltina","Characidae","Characiformes","Actinopterygii",NA,4.6,NA,NA
"Planiloricaria cryptodon","Planiloricaria","Loricariidae","Siluriformes","Actinopterygii",NA,21.5,NA,25
"Platanichthys platana","Platanichthys","Clupeidae","Clupeiformes","Actinopterygii",NA,6.7,NA,NA
"Plataplochilus cabindae","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,5,NA,23
"Plataplochilus chalcopyrus","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,3.1,NA,23
"Plataplochilus loemensis","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,6,NA,23.5
"Plataplochilus miltotaenia","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,5,NA,24
"Plataplochilus ngaensis","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,5,NA,23
"Plataplochilus terveri","Plataplochilus","Poeciliidae","Cyprinodontiformes","Actinopterygii",NA,5.5,NA,20
"Platax batavianus","Platax","Ephippidae","Perciformes","Actinopterygii",NA,65,NA,NA
"Platax boersii","Platax","Ephippidae","Perciformes","Actinopterygii",NA,40,NA,NA
"Platax orbicularis","Platax","Ephippidae","Perciformes","Actinopterygii",NA,60,NA,25
"Platax pinnatus","Platax","Ephippidae","Perciformes","Actinopterygii",NA,45,NA,NA
"Platax teira","Platax","Ephippidae","Perciformes","Actinopterygii",NA,70,NA,NA
"Platichthys flesus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii",3.117647059,60,0.290525812,15
"Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopterygii",2.5,91,0.236080779,13.16666667
"Platyallabes tihoni","Platyallabes","Clariidae","Siluriformes","Actinopterygii",NA,52.8,NA,NA
"Platybelone argalus annobonensis","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,23,NA,NA
"Platybelone argalus argalus","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,50,NA,NA
"Platybelone argalus platura","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,45,NA,NA
"Platybelone argalus platyura","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,45,NA,NA
"Platybelone argalus pterura","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,40,NA,NA
"Platybelone argalus trachura","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,32,NA,NA
"Platybelone lovii","Platybelone","Belonidae","Beloniformes","Actinopterygii",NA,24,NA,NA
"Platyberyx andriashevi","Platyberyx","Caristiidae","Perciformes","Actinopterygii",NA,18.5,NA,NA
"Platyberyx mauli","Platyberyx","Caristiidae","Perciformes","Actinopterygii",NA,14,NA,NA
"Platyberyx opalescens","Platyberyx","Caristiidae","Perciformes","Actinopterygii",NA,8,NA,NA
"Platyberyx paucus","Platyberyx","Caristiidae","Perciformes","Actinopterygii",NA,10,NA,NA
"Platyberyx pietschi","Platyberyx","Caristiidae","Perciformes","Actinopterygii",NA,9.3,NA,NA
"Platycephalus aurimaculatus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,55,NA,NA
"Platycephalus bassensis","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,46,0.231770454,15
"Platycephalus caeruleopunctatus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,45,0.18,15
"Platycephalus conatus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",4.5,70,NA,NA
"Platycephalus endrachtensis","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,45,NA,NA
"Platycephalus fuscus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",2,120,0.219,23.9
"Platycephalus grandispinis","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,38,NA,NA
"Platycephalus indicus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,100,0.34,26
"Platycephalus laevigatus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,50,NA,NA
"Platycephalus marmoratus","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,36,NA,NA
"Platycephalus orbitalis","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,33.34,NA,NA
"Platycephalus richardsoni","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",4,65,0.226318109,13.4375
"Platycephalus speculator","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",1.5,90,0.316150299,16.125
"Platycephalus westraliae","Platycephalus","Platycephalidae","Scorpaeniformes","Actinopterygii",NA,55.3,NA,NA
"Platyclarias machadoi","Platyclarias","Clariidae","Siluriformes","Actinopterygii",NA,20.1,NA,NA
"Platydoras armatulus","Platydoras","Doradidae","Siluriformes","Actinopterygii",NA,20,NA,NA
"Platydoras brachylecis","Platydoras","Doradidae","Siluriformes","Actinopterygii",NA,21.6,NA,NA
